מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,יעקב חמזה 37,60,2025,1090000,38305-31-1,דירה בבית,3,18167
2,אפרים די-זהב 39,59,2025,1200000,38307-28-1,דירה בבית,3,20339
3,יצחק ויטנברג 8,130,2025,1775000,38316-29-1,דירה בבית,4,13654
4,חמדה וצבי זינדר 5,65,2025,1290000,38310-60-1,דירה בבית,3,19846
5,ארבע הגיבורות 11,153,2025,2390000,38317-31-1,דירה בבית,5,15621
6,אפרים די-זהב 1,133,2025,1500000,38308-37-1,קוטג' חד משפחתי,5,11278
8,חנוך גיבתון 9,60,2025,1300000,38310-40-3,דירה בבית,3,21667
9,הצנחנים 30,118,2025,1610000,38316-58-1,דירה בבית,4,13644
10,מרק לברי 32,104,2024,1400000,38305-38-2,דירה בבית,5,13462
11,רות סמילן 37,59,2024,1150000,38305-43-1,דירה בבית,3,19492
12,תלמה (ילין) 56,64,2024,1145000,38303-27-1,קוטג' דו משפחתי,3,17891
13,אפרים די-זהב 51,245,2024,1700000,38307-12-4,דירה בבית,5,6939
14,רפאל רייס 18,59,2024,1240000,38312-43-2,קוטג' חד משפחתי,3,21017
15,מרק לברי 23,105,2024,1730000,38304-3-2,קוטג' דו משפחתי,4.5,16476
16,חנוך גיבתון 30,110,2024,1510000,38310-2-1,קוטג' דו משפחתי,4,13727
17,משה חובב 4,60,2024,545000,38302-41-1,קוטג' דו משפחתי,3,9083
18,מרק לברי 12,60,2024,713000,38306-60-1,קוטג' דו משפחתי,3,11883
19,ידידיה אדמון 40,60,2024,709000,38301-32-1,דירה בבית,3,11817
20,מנחם אבידום 9,60,2024,640000,38304-67-1,קוטג' דו משפחתי,3,10667
21,יצחק ויטנברג 19,60,2024,1020000,38316-75-1,דירה בבית,3,17000
22,פאול בן חיים 34,60,2024,1190000,38307-24-1,דירה בבית,3,19833
23,מנחם אבידום 4,59,2024,800000,38304-57-1,קוטג' דו משפחתי,3,13559
24,פרץ גולדשטיין 17,59,2024,1155000,38053-56-1,קוטג' חד משפחתי,3,19576
25,אלכסנדר בוסקוביץ 28,60,2024,653000,38301-61-1,דירה בבית,3,10883
