city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רחובות,אושיות,251,דולינסקי 9,63,2018,1270000,3698-318-18,דירה בבית,3,20159
רחובות,אושיות,252,הקבוצים 12,49,2018,840000,3698-310-39,דירה בבית,2.5,17143
רחובות,אושיות,253,0,119,2018,1760000,3698-70-24,דירה בבית,5,14790
רחובות,אושיות,256,ההסתדרות 63,36,2018,385000,3698-128-8,דירה בבית,2.5,10694
רחובות,אושיות,257,הקיבוצים 4,59,2018,1000000,3698-313-7,דירה בבית,3,16949
רחובות,אושיות,258,דולינסקי 44,62,2018,954000,3698-303-8,דירה בבית,3,15387
רחובות,אושיות,259,דולינסקי 17,62,2018,1140000,3698-40-24,דירה בבית,3,18387
רחובות,אושיות,260,מבצע ליטני 5,62,2018,1150000,3698-302-35,דירה בבית,3,18548
רחובות,אושיות,261,דולינסקי 17,76,2018,1330000,3698-40-25,דירה בבית,4,17500
רחובות,אושיות,264,דולינסקי 44,62,2018,1018000,3698-303-15,דירה בבית,3,16419
רחובות,אושיות,266,מבצע ליטני 20,63,2018,1200000,3698-319-5,דירה בבית,3,19048
רחובות,אושיות,267,טרומפלדור 10,98,2018,1450000,3698-243-1,דירה בבית,4,14796
רחובות,אושיות,268,טרומפלדור 19,51,2018,1080000,3698-288-4,דירה בבית,2.5,21176
רחובות,אושיות,269,תפוז 1,58.8,2018,915000,3698-337-15,דירה בבית,3,15561
רחובות,אושיות,270,לדיז'ינסקי 3,58.8,2018,930000,3698-334-5,דירה בבית,3,15816
רחובות,אושיות,271,לדיז'ינסקי 10,63,2018,1080000,3698-308-5,דירה בבית,3,17143
רחובות,אושיות,272,תפוז 3,60.6,2018,920000,3698-337-27,דירה בבית,3,15182
רחובות,אושיות,273,מבצע ליטני 5,62,2018,955000,3698-302-38,דירה בבית,2.5,15403
רחובות,אושיות,274,לימון 4,58.8,2018,905000,3698-338-45,דירה בבית,3,15391
רחובות,אושיות,275,הקיבוצים 14,62,2018,965000,3698-302-5,דירה בבית,3,15565
רחובות,אושיות,277,מבצע ליטני 20,63,2018,1200000,3698-319-3,דירה בבית,3,19048
רחובות,אושיות,278,מבצע ליטני 5,62,2018,885000,3698-302-30,דירה בבית,3,14274
רחובות,אושיות,279,תפוז 1,58.8,2018,925000,3698-337-49,דירה בבית,3,15731
רחובות,אושיות,280,לימון 4,60.6,2018,955000,3698-338-41,דירה בבית,3,15759
רחובות,אושיות,283,טרומפלדור 17,51,2018,800000,3698-289-5,דירה בבית,3,15686
