city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רמת גן,קרית קריניצי,863,דן שומרון 13,108.59,2020,2693000,7278-88-61,דירה בבית,4,24800
רמת גן,קרית קריניצי,864,חיים בר לב 18,108,2020,2722000,7278-5-1,דירה בבית,4,25204
רמת גן,קרית קריניצי,865,דן שומרון 13,119.36,2020,3070000,7278-88-90,דירה בבית,5,25721
רמת גן,קרית קריניצי,866,0,108,2020,2893000,6236-5-218,דירה בבית,4,26787
רמת גן,קרית קריניצי,869,דן שומרון 13,128.35,2020,2980000,7278-88-8,דירה בבית,5,23218
רמת גן,קרית קריניצי,870,מנדס 61,119.97,2020,2530000,6236-155-23,דירה בבית,4,21089
רמת גן,קרית קריניצי,876,המאירי 15,245,2020,5000000,6236-129-2,קוטג' חד משפחתי,7,20408
רמת גן,קרית קריניצי,877,דן שומרון 13,128.35,2020,3079000,7278-88-21,דירה בבית,5,23989
רמת גן,קרית קריניצי,878,0,118,2020,3099000,6236-5-219,דירה בבית,5,26263
רמת גן,קרית קריניצי,879,0,104,2020,2725000,7278-71-22,דירה בבית,4,26202
רמת גן,קרית קריניצי,880,חיים בר לב 9,93.88,2020,2400000,7277-47-11,דירה בבית,4,25565
רמת גן,קרית קריניצי,881,דן שומרון 13,128.35,2020,3358000,7278-88-86,דירה בבית,5,26163
רמת גן,קרית קריניצי,882,יעקב כהן 9,252,2020,5400000,6236-108-2,דירה בבית,7,21429
רמת גן,קרית קריניצי,883,דן שומרון 13,128.35,2020,3397000,7278-88-104,דירה בבית,5,26467
רמת גן,קרית קריניצי,884,דן שומרון 3,75,2020,2135000,7278-80-5,דירה בבית,3,28467
רמת גן,קרית קריניצי,887,חיים בר לב 19,99,2020,2630000,7277-46-11,דירה בבית,4,26566
רמת גן,קרית קריניצי,889,מנדס 38,331.7,2020,6400000,6235-828-1,קוטג' דו משפחתי,7,19295
רמת גן,קרית קריניצי,890,המאירי 20,155.44,2020,4560000,6236-115-2,דירה בבית,6,29336
רמת גן,קרית קריניצי,891,המאירי 16,220.86,2020,4100000,6236-117-2,קוטג' דו משפחתי,6,18564
רמת גן,קרית קריניצי,893,דן שומרון 3,121,2020,3100000,7278-80-4,דירה בבית,5,25620
רמת גן,קרית קריניצי,895,דן שומרון 3,153,2020,4650000,7278-80-25,דירה בבית,5,30392
רמת גן,קרית קריניצי,897,דן שומרון 3,153,2020,4650000,7278-80-3,דירה בבית,5,30392
רמת גן,קרית קריניצי,899,דן שומרון 13,128.86,2020,2907000,7278-88-3,דירה בבית,5,22559
רמת גן,קרית קריניצי,900,דן שומרון 13,108.59,2020,2805000,7278-88-52,דירה בבית,4,25831
רמת גן,קרית קריניצי,901,מנדס 63,103,2020,2100000,6236-154-22,דירה בבית,4,20388
רמת גן,קרית קריניצי,903,יוסף ספיר 2,270,2020,5150000,6236-122-1,קוטג' חד משפחתי,7,19074
רמת גן,קרית קריניצי,906,דן שומרון 3,154,2020,4530000,7278-80-26,דירה בבית,5,29416
רמת גן,קרית קריניצי,907,דן שומרון 3,75,2020,2100000,7278-80-1,דירה בבית,3,28000
רמת גן,קרית קריניצי,908,0,103,2020,2420000,7277-61-3,דירה בבית,4,23495
רמת גן,קרית קריניצי,909,מנדס 69,119.11,2020,2216000,6236-151-3,דירה בבית,4,18605
רמת גן,קרית קריניצי,910,מנדס 63,103,2020,2525000,6236-154-12,דירה בבית,4.5,24515
רמת גן,קרית קריניצי,911,יוסף ספיר 28,248.6,2020,4149000,6236-157-2,קוטג' חד משפחתי,6,16689
רמת גן,קרית קריניצי,912,דן שומרון 13,108,2020,2727000,7278-88-122,דירה בבית,4,25250
רמת גן,קרית קריניצי,913,חיים בר לב 9,93.88,2020,2600000,7277-47-35,דירה בבית,4,27695
רמת גן,קרית קריניצי,915,דן שומרון 13,108.59,2020,2693000,7278-88-55,דירה בבית,4,24800
רמת גן,קרית קריניצי,916,חיים בר לב 19,143,2020,3800000,7277-46-10,דירה בבית,5,26573
רמת גן,קרית קריניצי,917,חיים בר לב 19,126,2020,2900000,7277-46-9,דירה בבית,5,23016
רמת גן,קרית קריניצי,918,מנדס 61,119.97,2020,1950000,6236-155-3,דירה בבית,4,16254
