מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
4,פרחי חיים 2,26,2025,800000,30084-85-1,דירה בבית,1,30769
5,אדניהו הכהן 30,60,2025,2800000,30103-4-3,דירה בבית,3,46667
6,בר אילן 25,146,2025,4960000,30103-82-83,דירה בבית,5,33973
7,אבינדב 22,89,2025,640000,30103-149-5,דירה בבית,3,7191
8,אהרון פישל 7,140,2025,4700000,30084-170-4,דירה בבית,5,33571
9,שלמה מוסיוף 5,40,2025,1000000,30085-46-7,דירה בבית,1.5,25000
10,שמואל הנביא 77,57,2025,530000,30103-66-2,דירה בבית,3,9298
11,בר אילן 41,61.6,2025,580000,30080-168-4,דירה בבית,2,9416
12,רחובות הבוכרים 22,76.6,2025,3300000,30084-111-35,דירה בבית,3,43081
14,ישא ברכה 14,56,2025,2750000,30080-189-8,דירה בבית,3,49107
15,ישא ברכה 12,39,2025,1500000,30080-188-2,דירה בבית,2,38462
16,יחזקאל 50,50,2024,2717000,30085-149-16,דירה בבית,2,54340
18,עזרא 28,37.6,2024,1900000,30084-77-8,דירה בבית,2,50532
20,יחזקאל 29,66.9,2024,3460000,30085-31-8,דירה בבית,3,51719
21,עזרא 14,68,2024,2300000,30085-33-9,דירה בבית,3,33824
22,0,67.1,2024,3250000,30103-122-2,דירה בבית,3,48435
23,ישא ברכה 12,64,2024,2800000,30080-188-5,דירה בבית,3,43750
25,רחובות הבוכרים 27,148,2024,7529000,30084-95-9,דירה בבית,6,50872
27,תלמודי אברהם 12,78,2024,4250000,30085-23-7,דירה בבית,4,54487
28,אדניהו הכהן 44,43,2024,127000,30101-89-16,דירה בבית,2,2953
29,רחובות הבוכרים 27,130,2024,4269000,30084-95-8,דירה בבית,5,32838
30,רחובות הבוכרים 27,77,2024,2522000,30084-95-7,דירה בבית,4,32753
32,0,45.5,2024,2360000,30101-66-11,דירה בבית,2,51868
33,ישא ברכה 13,63.5,2024,3020000,30084-87-8,דירה בבית,3,47559
34,אהרון פישל 17,52,2024,2080000,30103-83-46,דירה בבית,2,40000
36,ישא ברכה 6,55,2024,2500000,30080-180-19,דירה בבית,3,45455
37,שלמה מוסיוף 1,100,2024,3200000,30085-42-8,דירה בבית,4,32000
38,אהרון פישל 19,59,2024,3120000,30103-83-9,דירה בבית,3,52881
40,רחובות הבוכרים 20,100.8,2024,5000000,30084-110-20,דירה בבית,4,49603
41,אדניהו הכהן 50,72,2024,1650000,30080-158-5,דירה בבית,3,22917
42,0,127.8,2024,3420000,30084-117-1,דירה בבית,5,26761
48,שלמה מוסיוף 1,68,2024,2295000,30085-42-9,דירה בבית,3,33750
49,אדניהו הכהן 32,89,2024,3500000,30103-3-7,דירה בבית,4,39326
50,עזרא 14,80,2024,1500000,30085-33-8,דירה בבית,4,18750
52,שמואל הנביא 79,52.2,2024,2525500,30103-118-9,דירה בבית,3,48381
53,עזרא 28,50.35,2024,2500000,30084-77-7,דירה בבית,3,49652
54,בר אילן 39,57,2024,3200000,30080-167-8,דירה בבית,3,56140
55,רבנו גרשום 41,72,2024,1589000,30101-87-2,דירה בבית,3,22069
56,רבנו גרשום 41,66,2024,1912000,30101-87-6,דירה בבית,3,28970
57,רבנו גרשום 41,68,2024,1600000,30101-87-7,דירה בבית,3,23529
58,עזרא 28,50.35,2023,1600000,30084-77-11,דירה בבית,3,31778
60,אהרון פישל 20,83,2023,3800000,30084-166-19,דירה בבית,4,45783
64,0,90,2023,2150000,30084-173-1,דירה בבית,4,23889
66,עזרא 28,50.5,2023,1880000,30084-77-2,דירה בבית,2,37228
67,רבנו גרשום 3,80,2023,3100000,30085-100-7,דירה בבית,3,38750
