מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,כפר סבא,קרית ספיר,המייסדים 16,101.31,2025,2640000,6438-193-7,דירה בבית,4,26059
3,כפר סבא,קרית ספיר,המייסדים 29,129,2025,3950000,6438-171-4,דירה בבית,5,30620
4,כפר סבא,קרית ספיר,גיבורי ישראל 11,167.76,2025,4000000,6438-264-13,דירה בבית,6,23844
6,כפר סבא,קרית ספיר,הכרמל 34,120,2025,2665000,6440-281-6,דירה בבית,4,22208
7,כפר סבא,קרית ספיר,כינרת 18,107.5,2025,3030000,6440-200-14,דירה בבית,5,28186
8,כפר סבא,קרית ספיר,הרצל 67,86.36,2024,2700000,6438-298-8,דירה בבית,4,31264
10,כפר סבא,קרית ספיר,רוטשילד 80,81.06,2024,2430000,6438-209-25,דירה בבית,4,29978
13,כפר סבא,קרית ספיר,כינרת 16,176,2024,3400000,6440-196-15,דירה בבית,5,19318
14,כפר סבא,קרית ספיר,הכרמל 5,102,2024,2154000,6428-551-45,דירה בבית,4,21118
15,כפר סבא,קרית ספיר,הכרמל 18,121.26,2024,3675000,6440-221-47,דירה בבית,5.5,30307
16,כפר סבא,קרית ספיר,ברל כצנלסון 8,130.1,2024,4000000,6428-548-23,דירה בבית,5,30746
18,כפר סבא,קרית ספיר,הרצל 69,132.86,2024,3900000,6438-288-9,דירה בבית,5,29354
20,כפר סבא,קרית ספיר,רוטשילד 71,82.5,2024,2350000,6440-151-26,דירה בבית,4,28485
22,כפר סבא,קרית ספיר,ירושלים 50,221.32,2024,5335000,6440-177-19,דירה בבית,6,24105
26,כפר סבא,קרית ספיר,רוטשילד 65,104.46,2024,2600000,6440-169-6,דירה בבית,4.5,24890
27,כפר סבא,קרית ספיר,המייסדים 18,95.91,2024,2660000,6438-192-15,דירה בבית,4,27734
28,כפר סבא,קרית ספיר,הרצל 77,89.45,2024,2500000,6438-276-18,דירה בבית,3.5,27949
31,כפר סבא,קרית ספיר,המייסדים 29,80,2024,2400000,6438-171-7,דירה בבית,3,30000
32,כפר סבא,קרית ספיר,המייסדים 29,106,2024,3180000,6438-171-11,דירה בבית,4,30000
35,כפר סבא,קרית ספיר,המייסדים 18,109.2,2024,2700000,6438-192-5,דירה בבית,5,24725
36,כפר סבא,קרית ספיר,הכרמל 40,93.16,2024,2435000,6438-300-6,דירה בבית,4,26138
37,כפר סבא,קרית ספיר,דוד אלעזר 8,97.75,2024,2845000,6440-192-18,דירה בבית,3.5,29105
38,כפר סבא,קרית ספיר,המיסדים 24,99.01,2024,2665000,6438-201-6,דירה בבית,3,26916
39,כפר סבא,קרית ספיר,רוטשילד 71,87.5,2024,2300000,6440-151-13,דירה בבית,4,26286
40,כפר סבא,קרית ספיר,דוד אלעזר 8,120.09,2024,3600000,6440-192-14,דירה בבית,4.5,29978
41,כפר סבא,קרית ספיר,הכרמל 24,109,2024,3250000,6440-278-1,דירה בבית,4,29817
42,כפר סבא,קרית ספיר,הכרמל 44,109,2024,3000000,6438-345-2,דירה בבית,5,27523
44,כפר סבא,קרית ספיר,הכרמל 46,156,2023,4100000,6438-366-9,דירה בבית,5,26282
45,כפר סבא,קרית ספיר,דוד אלעזר 8,79.66,2023,2400000,6440-192-22,דירה בבית,3,30128
46,כפר סבא,קרית ספיר,המייסדים 41,103.49,2023,3050000,6440-181-26,דירה בבית,5,29471
47,כפר סבא,קרית ספיר,הכרמל 5,102,2023,3050000,6428-551-52,דירה בבית,4,29902
49,כפר סבא,קרית ספיר,המייסדים 18,109.2,2023,620000,6438-192-9,דירה בבית,4.5,5678
50,כפר סבא,קרית ספיר,המייסדים 16,100.25,2023,2420000,6438-193-13,דירה בבית,4,24140
51,כפר סבא,קרית ספיר,כנרת 14,106,2023,2655000,6440-245-6,דירה בבית,4,25047
52,כפר סבא,קרית ספיר,הרצל 57,87.01,2023,2200000,6438-97-29,דירה בבית,3,25284
54,כפר סבא,קרית ספיר,הרצל 61,126.93,2023,3800000,6438-99-12,דירה בבית,5,29938
55,כפר סבא,קרית ספיר,המייסדים 18,95.91,2023,2770000,6438-192-7,דירה בבית,4,28881
57,כפר סבא,קרית ספיר,0,151,2023,3050000,6440-270-2,דירה בבית,5,20199
58,כפר סבא,קרית ספיר,הרצל 71,107,2023,2760000,6438-280-11,דירה בבית,5,25794
60,כפר סבא,קרית ספיר,המייסדים 41,87.19,2022,2650000,6440-181-24,דירה בבית,4,30393
62,כפר סבא,קרית ספיר,ברל כצנלסון 8,107.2,2022,3270000,6428-548-34,דירה בבית,4,30504
66,כפר סבא,קרית ספיר,דוד אלעזר 8,97.75,2022,2650000,6440-192-42,דירה בבית,3.5,27110
67,כפר סבא,קרית ספיר,המיסדים 25,101.42,2022,2500000,6438-274-13,דירה בבית,4,24650
68,כפר סבא,קרית ספיר,0,106.16,2022,3060000,6438-324-18,דירה בבית,5.5,28824
70,כפר סבא,קרית ספיר,הכרמל 5,122,2022,400000,6428-551-110,דירה בבית,5,3279
73,כפר סבא,קרית ספיר,הרצל 69,91.5,2022,2450000,6438-288-8,דירה בבית,4,26776
74,כפר סבא,קרית ספיר,ירושלים 50,97.82,2022,2900000,6440-177-9,דירה בבית,5,29646
80,כפר סבא,קרית ספיר,הכרמל 5,102,2022,2500000,6428-551-4,דירה בבית,4,24510
81,כפר סבא,קרית ספיר,הכרמל 5,102,2022,2750000,6428-551-54,דירה בבית,4,26961
82,כפר סבא,קרית ספיר,המיסדים 36,78.62,2022,2170000,6440-180-29,דירה בבית,3,27601
83,כפר סבא,קרית ספיר,רוטשילד 71,73.5,2022,2222200,6440-151-24,דירה בבית,4,30234
84,כפר סבא,קרית ספיר,רוטשילד 74,73,2022,2245000,6438-182-12,דירה בבית,3,30753
86,כפר סבא,קרית ספיר,רוטשילד 80,66.16,2022,1900000,6438-209-10,דירה בבית,3,28718
87,כפר סבא,קרית ספיר,רוטשילד 71,83.5,2022,2150000,6440-151-5,דירה בבית,4,25749
89,כפר סבא,קרית ספיר,רוטשילד 74,81,2022,2440000,6438-182-13,דירה בבית,3,30123
92,כפר סבא,קרית ספיר,ארבל 2,60,2021,400000,6440-181-6,דירה בבית,2,6667
94,כפר סבא,קרית ספיר,הכרמל 5,122,2021,3550000,6428-551-57,דירה בבית,5,29098
96,כפר סבא,קרית ספיר,הכרמל 38,112.8,2021,2720000,6440-213-22,דירה בבית,5,24113
97,כפר סבא,קרית ספיר,ברל כצנלסון 8,129.1,2021,3345000,6428-548-57,דירה בבית,4,25910
99,כפר סבא,קרית ספיר,כצנלסון ברל 8,138.3,2021,4350000,6428-548-86,דירה בבית,6,31453
100,כפר סבא,קרית ספיר,הכרמל 36,100.94,2021,2270000,6440-213-5,דירה בבית,5,22489
101,כפר סבא,קרית ספיר,המייסדים 16,100.25,2021,2125000,6438-193-9,דירה בבית,4,21197
103,כפר סבא,קרית ספיר,המייסדים 41,119.93,2021,2500000,6440-181-20,דירה בבית,5,20845
104,כפר סבא,קרית ספיר,רוטשילד 67,98.5,2021,2550000,6440-203-5,דירה בבית,4,25888
106,כפר סבא,קרית ספיר,רוטשילד 74,116,2021,3005000,6438-182-15,דירה בבית,5,25905
108,כפר סבא,קרית ספיר,רוטשילד 80,77.33,2021,1853500,6438-209-4,דירה בבית,4,23969
109,כפר סבא,קרית ספיר,רוטשילד 80,77.33,2021,1740000,6438-209-21,דירה בבית,4,22501
110,כפר סבא,קרית ספיר,האלה 3,107.7,2021,2100000,6438-292-3,דירה בבית,5,19499
111,כפר סבא,קרית ספיר,גיבורי ישראל 9,117,2021,2430000,6438-248-6,דירה בבית,5,20769
112,כפר סבא,קרית ספיר,הרצל 79,124.5,2021,2235000,6438-276-38,דירה בבית,5,17952
113,כפר סבא,קרית ספיר,הכרמל 44,231,2021,4260000,6438-345-15,דירת,5,18442
114,כפר סבא,קרית ספיר,המייסדים 18,109.2,2021,2250000,6438-192-16,דירה בבית,5,20604
115,כפר סבא,קרית ספיר,הכרמל 36,117.97,2021,2500000,6440-213-35,דירה בבית,5,21192
117,כפר סבא,קרית ספיר,המיסדים 36,96.84,2021,2200000,6440-180-22,דירה בבית,4,22718
119,כפר סבא,קרית ספיר,האלה 73,90,2021,875000,6438-281-4,דירה בבית,4,9722
120,כפר סבא,קרית ספיר,המיסדים 24,114.33,2021,2330000,6438-201-11,דירה בבית,5,20380
121,כפר סבא,קרית ספיר,רוטשילד 82,74.65,2021,1860000,6438-207-7,דירה בבית,3,24916
122,כפר סבא,קרית ספיר,רוטשילד 78,115.51,2021,1900000,6438-241-13,דירה בבית,4,16449
123,כפר סבא,קרית ספיר,הכרמל 26,120.35,2021,2350000,6440-246-1,דירה בבית,5,19526
124,כפר סבא,קרית ספיר,הכרמל 36,119.87,2021,2300000,6440-213-34,דירה בבית,5,19187
125,כפר סבא,קרית ספיר,הכרמל 5,106,2021,910000,6428-551-111,דירה בבית,4,8585
126,כפר סבא,קרית ספיר,ויצמן 87,50.13,2021,1400000,6440-60-14,דירה בבית,3,27927
128,כפר סבא,קרית ספיר,ויצמן 87,50.13,2021,1460000,6440-60-16,דירה בבית,2,29124
129,כפר סבא,קרית ספיר,כינרת 3,110,2021,3050000,6440-273-16,דירה בבית,5,27727
130,כפר סבא,קרית ספיר,המייסדים 16,114.65,2021,2860000,6438-193-17,דירה בבית,5,24945
132,כפר סבא,קרית ספיר,0,113.17,2021,2215000,6438-324-16,דירה בבית,5,19572
133,כפר סבא,קרית ספיר,גיבורי ישראל 9,114,2021,2200000,6438-248-1,דירה בבית,5,19298
134,כפר סבא,קרית ספיר,האלה 73,90,2021,1780000,6438-281-3,דירה בבית,4,19778
136,כפר סבא,קרית ספיר,הרצל 79,126.35,2021,2350000,6438-276-46,דירה בבית,5,18599
137,כפר סבא,קרית ספיר,המייסדים 18,109.2,2021,1850000,6438-192-1,דירה בבית,5,16941
139,כפר סבא,קרית ספיר,המיסדים 32,116.6,2021,2300000,6440-180-1,דירה בבית,5,19726
140,כפר סבא,קרית ספיר,הכרמל 5,102,2021,2350000,6428-551-27,דירה בבית,4,23039
141,כפר סבא,קרית ספיר,ארבל 2,94.79,2021,2150000,6440-181-2,דירת גן,4,22682
144,כפר סבא,קרית ספיר,0,101,2021,1980000,6438-293-1,דירה בבית,4,19604
146,כפר סבא,קרית ספיר,המיסדים 14,100.68,2020,1740000,6438-194-18,דירה בבית,4,17282
147,כפר סבא,קרית ספיר,הכרמל 46,114,2020,2950000,6438-366-2,דירה בבית,5,25877
148,כפר סבא,קרית ספיר,0,133,2020,2464600,6438-293-11,דירה בבית,5,18531
