city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
נהריה,גבעת טרומפלדור,216,החלוץ 53,55,2019,450000,18208-368-5,דירה בבית,3,8182
נהריה,גבעת טרומפלדור,217,זמנהוף 5,36.9,2019,400000,18208-110-1,דירה בבית,2,10840
נהריה,גבעת טרומפלדור,219,זמנהוף 5,35.9,2019,370000,18208-110-21,דירה בבית,2,10306
נהריה,גבעת טרומפלדור,220,זמנהוף 1,35.9,2019,415000,18208-104-7,דירה בבית,2,11560
נהריה,גבעת טרומפלדור,221,החלוץ 67,36.1,2019,460000,18208-144-2,דירה בבית,2,12742
נהריה,גבעת טרומפלדור,223,יהודה המכבי 17,61,2019,512000,18208-87-4,דירה בבית,3,8393
נהריה,גבעת טרומפלדור,226,החלוץ 35,46,2019,395000,18208-359-3,דירה בבית,3,8587
נהריה,גבעת טרומפלדור,227,יהודה המכבי 5,36.1,2019,355000,18208-179-4,דירה בבית,2,9834
נהריה,גבעת טרומפלדור,228,החלוץ 37,46,2019,460000,18208-360-9,דירה בבית,2.5,10000
נהריה,גבעת טרומפלדור,229,זמנהוף 5,35.9,2019,164000,18208-110-9,דירה בבית,2,4568
נהריה,גבעת טרומפלדור,230,החלוץ 28,100,2019,625000,18208-117-5,דירה בבית,4,6250
נהריה,גבעת טרומפלדור,232,החלוץ 30,36.1,2019,535000,18208-92-6,דירה בבית,2,14820
נהריה,גבעת טרומפלדור,233,טרומפלדור 46,97.8,2019,1370000,18208-278-1,דירה בבית,7,14008
נהריה,גבעת טרומפלדור,234,החלוץ 37,46,2019,483000,18208-360-2,דירה בבית,3,10500
נהריה,גבעת טרומפלדור,235,טרומפלדור 38,37.7,2019,381000,18208-287-6,דירה בבית,3,10106
נהריה,גבעת טרומפלדור,236,החלוץ 39,46,2019,410000,18208-361-14,דירה בבית,3,8913
נהריה,גבעת טרומפלדור,237,יהודה המכבי 41,63,2019,580000,18208-71-5,דירה בבית,3,9206
נהריה,גבעת טרומפלדור,238,החלוץ 35,46,2019,480000,18208-359-10,דירה בבית,3,10435
