city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
יהוד-מונוסון,קרית הסביונים,281,משה דיין 26,99.5,2016,2300000,6809-190-265,דירה בבית,4,23116
יהוד-מונוסון,קרית הסביונים,282,היובל 2,103.7,2016,2099000,6810-11-42,דירה בבית,4,20241
יהוד-מונוסון,קרית הסביונים,283,היובל 2,118.9,2016,2200000,6810-11-44,דירה בבית,5,18503
יהוד-מונוסון,קרית הסביונים,284,החורש 5,183.6,2016,4449000,6810-17-142,דירה בבית,5,24232
יהוד-מונוסון,קרית הסביונים,285,אלה 10,195.3,2016,3400000,6810-57-1,דירה בבית,7,17409
יהוד-מונוסון,קרית הסביונים,286,בגין 1,149.1,2016,3574000,6810-17-285,דירה בבית,6,23970
יהוד-מונוסון,קרית הסביונים,287,משה דיין 30,119.7,2016,2670000,6809-190-161,דירה בבית,5,22306
יהוד-מונוסון,קרית הסביונים,288,משה דיין 28,104.2,2016,2449000,6809-190-215,דירה בבית,4,23503
יהוד-מונוסון,קרית הסביונים,289,משה דיין 14,75,2016,1800000,6810-17-481,דירה בבית,4,24000
יהוד-מונוסון,קרית הסביונים,290,היובל 2,111,2016,2499000,6810-11-48,דירה בבית,5,22514
יהוד-מונוסון,קרית הסביונים,292,משה דיין 14,114,2016,1800000,6810-17-482,דירה בבית,4,15789
יהוד-מונוסון,קרית הסביונים,293,משה דיין 8,71.3,2016,1585000,6810-17-330,דירה בבית,3,22230
יהוד-מונוסון,קרית הסביונים,294,משה דיין 26,80.2,2016,1730000,6809-190-48,דירה בבית,3.5,21571
יהוד-מונוסון,קרית הסביונים,295,משה דיין 26,99.5,2016,2149000,6809-190-245,דירה בבית,4,21598
יהוד-מונוסון,קרית הסביונים,296,משה דיין 6,157,2016,2700000,6810-17-381,דירה בבית,5,17197
יהוד-מונוסון,קרית הסביונים,297,היובל 2,116.03,2016,2199000,6810-11-11,דירה בבית,5,18952
יהוד-מונוסון,קרית הסביונים,299,משה דיין 32,105.5,2016,2229000,6809-190-369,דירה בבית,4,21128
יהוד-מונוסון,קרית הסביונים,300,היובל 4,118.89,2016,2050000,6810-10-46,דירה בבית,5.5,17243
יהוד-מונוסון,קרית הסביונים,301,החורש 5,120.8,2016,2380000,6810-17-136,דירה בבית,5,19702
יהוד-מונוסון,קרית הסביונים,302,משה דיין 32,81.1,2016,1700000,6809-190-89,דירה בבית,4,20962
יהוד-מונוסון,קרית הסביונים,303,משה דיין 30,109.7,2016,2358000,6809-190-26,דירה בבית,6,21495
יהוד-מונוסון,קרית הסביונים,304,בגין 9,107,2016,2130000,6810-13-13,דירה בבית,5.5,19907
יהוד-מונוסון,קרית הסביונים,305,משה דיין 10,72.2,2016,1580000,6810-17-403,דירה בבית,3.5,21884
יהוד-מונוסון,קרית הסביונים,306,חבצלת 15,198.8,2016,3620000,6809-48-4,קוטג' דו משפחתי,6,18209
יהוד-מונוסון,קרית הסביונים,307,משה דיין 10,71.6,2016,1510000,6810-17-414,דירה בבית,3,21089
