city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
תל אביב - יפו,תל כביר נווה עופר י,70,מרדכי בנטוב 5,77,2023,2650000,6991-74-31,דירה בבית,3,34416
תל אביב - יפו,תל כביר נווה עופר י,71,שקד 39,87,2023,2500000,6993-131-28,דירה בבית,5,28736
תל אביב - יפו,תל כביר נווה עופר י,72,קורקידי 10,55.88,2023,1980000,6993-69-12,דירה בבית,3,35433
תל אביב - יפו,תל כביר נווה עופר י,73,מאיר גרוסמן 18,35.5,2023,164000,7055-53-9,דירה בבית,2,4620
תל אביב - יפו,תל כביר נווה עופר י,74,תל גיבורים 28,49.58,2023,85000,6991-31-22,דירה בבית,2,1714
תל אביב - יפו,תל כביר נווה עופר י,75,אוהלי יעקב 4,62.7,2023,2062000,6992-53-24,דירה בבית,3,32887
תל אביב - יפו,תל כביר נווה עופר י,76,אירוס 6,49.4,2023,1600000,6991-41-13,דירה בבית,3,32389
תל אביב - יפו,תל כביר נווה עופר י,77,זלמן שזר 31,110,2023,3050000,6993-39-202,דירה בבית,5,27727
תל אביב - יפו,תל כביר נווה עופר י,78,מרדכי בנטוב 5,104,2023,3250000,6991-74-32,דירה בבית,4,31250
תל אביב - יפו,תל כביר נווה עופר י,80,שקד 39,141,2023,4400000,6993-131-25,דירה בבית,5,31206
תל אביב - יפו,תל כביר נווה עופר י,81,גרינבוים 1,88.55,2023,2630000,7055-33-17,דירה בבית,4,29701
תל אביב - יפו,תל כביר נווה עופר י,82,שקד 34,66.14,2023,2150000,6993-121-19,דירה בבית,3,32507
תל אביב - יפו,תל כביר נווה עופר י,83,זלמן שזר 33,116,2023,2750000,6993-39-11,דירה בבית,5,23707
תל אביב - יפו,תל כביר נווה עופר י,84,צונץ 1,72.1,2023,1200000,6992-50-5,דירה בבית,3,16644
תל אביב - יפו,תל כביר נווה עופר י,85,זלמן שזר 71,61.34,2023,2265000,6993-122-175,דירה בבית,3,36925
תל אביב - יפו,תל כביר נווה עופר י,86,שיק 4,58.34,2023,887000,6993-60-15,דירה בבית,3,15204
תל אביב - יפו,תל כביר נווה עופר י,87,צונץ 16,98,2023,3410000,6992-30-17,דירה בבית,4,34796
תל אביב - יפו,תל כביר נווה עופר י,89,גרינבוים 33,62.7,2023,952000,7055-48-21,דירה בבית,3,15183
תל אביב - יפו,תל כביר נווה עופר י,90,מנחם ארבר 39,88.55,2023,600000,7055-33-102,דירה בבית,4.5,6776
תל אביב - יפו,תל כביר נווה עופר י,91,שקד 34,66.14,2023,1800000,6993-121-10,דירה בבית,3,27215
תל אביב - יפו,תל כביר נווה עופר י,92,גרינבוים 1,88.3,2023,2600000,7055-33-55,דירה בבית,4.5,29445
תל אביב - יפו,תל כביר נווה עופר י,94,מנחם ארבר 12,62.7,2023,2500000,7055-53-71,דירה בבית,3,39872
תל אביב - יפו,תל כביר נווה עופר י,95,גרינבוים 33,62.7,2023,674000,7055-48-23,דירה בבית,3,10750
תל אביב - יפו,תל כביר נווה עופר י,96,שיק 14,55.88,2023,1149000,6993-57-4,דירה בבית,3,20562
תל אביב - יפו,תל כביר נווה עופר י,97,שקד 39,116,2023,3840000,6993-131-21,דירה בבית,5,33103
תל אביב - יפו,תל כביר נווה עופר י,98,שקד 39,152,2023,4949000,6993-131-26,דירה בבית,5,32559
תל אביב - יפו,תל כביר נווה עופר י,99,מנחם ארבר 41,71.3,2023,1400000,7055-33-100,דירה בבית,4,19635
תל אביב - יפו,תל כביר נווה עופר י,100,שקד 39,113,2023,3824000,6993-131-22,דירה בבית,5,33841
