city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
טירת כרמל,גיורא,190,ש גיורא 53,47,2015,510000,10679-65-11,דירה בבית,3,10851
טירת כרמל,גיורא,191,גורדון 22,47,2015,405000,10679-69-11,דירה בבית,3,8617
טירת כרמל,גיורא,192,גורדון 20,47,2015,440000,10679-70-7,דירה בבית,3,9362
טירת כרמל,גיורא,193,ש גיורא 53,47,2015,650000,10679-65-2,דירה בבית,3,13830
טירת כרמל,גיורא,194,ש גיורא 67,88,2015,500000,10679-77-5,דירה בבית,5,5682
טירת כרמל,גיורא,195,ש גיורא 19,50.2,2015,471000,10679-56-10,דירה בבית,3,9382
טירת כרמל,גיורא,196,ירושלים 14,48.5,2015,477000,10679-59-19,דירה בבית,3,9835
טירת כרמל,גיורא,197,גורדון 6,37,2015,326000,10679-76-16,דירה בבית,2.5,8811
טירת כרמל,גיורא,198,ירושלים 14,48.5,2015,490000,10679-59-3,דירה בבית,3,10103
טירת כרמל,גיורא,199,ש גיורא 57,50.2,2015,350000,10679-68-27,דירה בבית,3,6972
טירת כרמל,גיורא,200,שי עגנון 15,28.15,2015,250000,10679-67-10,דירה בבית,1.5,8881
טירת כרמל,גיורא,201,אלבז נתן 20,34.7,2015,389000,10679-52-9,דירה בבית,2,11210
