מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הגרא 14,88.6,2025,2280000,3694-341-3,דירה בבית,4,25734
2,הגרא 1,114.03,2025,2900000,3694-361-6,דירה בבית,4,25432
3,הראז 15,103.75,2025,2640000,3694-150-4,דירה בבית,4,25446
4,הרב מלצר 2,68,2025,130000,3694-286-5,דירה בבית,3,1912
5,הגרא 7,68.3,2025,2175000,3694-139-5,דירה בבית,3,31845
6,טובה וטוביה מילר 5,80.1,2025,2050000,3703-455-8,דירה בבית,3.5,25593
8,הרב מלצר 7,121.4,2025,2750000,3694-278-3,דירה בבית,5,22652
9,הרב מלצר 3,106.93,2025,2270000,3694-281-2,דירה בבית,4,21229
10,הרב מלצר 20,94.32,2025,2425000,3694-301-8,דירה בבית,4,25710
11,טובה וטוביה מילר 7,92.08,2025,2125000,3703-441-21,דירה בבית,3.5,23078
12,הרב מלצר 14,60.81,2025,1650000,3694-289-14,דירה בבית,3,27134
13,הראז 6,94.66,2025,2500000,3694-131-2,דירה בבית,4.5,26410
14,טובה וטוביה מילר 23,102,2025,1040000,3703-1237-24,דירה בבית,4,10196
15,הראז 5,157.83,2025,3575000,3694-124-10,דירה בבית,5,22651
16,הגרא 5,127,2025,3250000,3694-138-7,דירה בבית,5,25591
17,טובה וטוביה מילר 17,90.7,2025,2170000,3703-706-3,דירה בבית,4,23925
18,הנשיא הראשון 52,115.2,2025,2735000,3694-349-110,דירה בבית,4,23741
19,גורדיסקי 19,61.7,2025,1800000,3703-323-2,דירה בבית,3,29173
20,הנשיא הראשון 52,132.8,2024,3515000,3694-349-142,דירה בבית,5,26468
21,גורודיסקי 27,180,2024,4140000,3703-1543-2,דירת,5,23000
22,תרן 11,58,2024,1700000,3703-1188-6,דירה בבית,2.5,29310
24,הרב הרצוג 4,100.17,2024,2250000,3703-151-10,דירה בבית,4,22462
25,0,74,2024,2500000,3703-707-1,דירה בבית,4.5,33784
26,טובה וטוביה מילר 5,109.98,2024,2950000,3703-456-8,דירה בבית,5,26823
27,טובה וטוביה מילר 21,102,2024,2150000,3703-1236-3,דירה בבית,4,21078
28,0,101,2024,2650000,3703-707-2,דירה בבית,3,26238
29,תרן 22,96.68,2024,2740000,3703-939-4,דירה בבית,4,28341
30,הגרא 5,99.42,2024,3150000,3694-138-3,דירת גן,5,31684
31,תרן 16,173.71,2024,4550000,3703-1368-7,דירת,5,26193
32,דוד שמעוני 3,100,2024,2648000,3703-1554-2,דירה בבית,4,26480
34,טובה וטוביה מילר 9,107.17,2024,2950000,3703-442-25,דירה בבית,4,27526
35,טובה וטוביה מילר 12,65.86,2024,1950000,3703-912-5,דירה בבית,3,29608
36,תרן 9,58,2024,1549000,3703-1187-7,דירה בבית,2,26707
