מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הפטמן 1,79.07,2025,2130000,7130-243-20,דירה בבית,4,26938
2,יוספטל גיורא 15,52,2025,1500000,7142-162-9,דירה בבית,3,28846
3,קדושי קהיר 7,97,2025,2900000,7148-138-1,דירה בבית,4,29897
4,ברנר 2,71.5,2025,1840000,7130-262-6,דירה בבית,3,25734
5,הרב עוזיאל 18,50,2025,1690000,7136-206-23,דירה בבית,2.5,33800
6,השר פנקס 9,64.4,2025,1750000,7136-371-12,דירה בבית,3,27174
7,השר פנקס 12,88.19,2025,2605000,7136-391-1,דירה בבית,4,29538
8,העצמאות 28,109,2025,3550000,7136-215-19,דירה בבית,4,32569
9,קדושי קהיר 7,97,2025,3000000,7148-138-2,דירה בבית,4,30928
10,הרב קוק 4,124.7,2025,3250000,7144-29-22,דירה בבית,6,26063
11,דניאל 8,61.79,2025,2250000,7149-199-11,דירה בבית,3,36414
12,הרב עוזיאל 21,43,2025,1280000,7150-312-4,דירה בבית,2,29767
13,השר פנקס 11,42,2025,1520000,7136-372-10,דירה בבית,2,36190
14,דניאל 50,54.8,2025,1683000,7136-237-13,דירה בבית,3,30712
15,השר פנקס 13,56,2025,1685000,7136-373-14,דירה בבית,2,30089
16,העצמאות 48,50.6,2025,1750000,7149-122-8,דירה בבית,2,34585
17,הרצל 57,88.5,2025,2150000,7141-168-7,דירה בבית,4,24294
19,דקר 3,56,2025,1920000,7141-208-12,דירה בבית,2,34286
20,בר אילן 8,80,2025,2506000,7130-274-17,דירה בבית,3,31325
21,רבי בנימין 2,64.73,2025,1610000,7130-270-27,דירה בבית,3,24873
22,ז'בוטינסקי 2,94.41,2025,2700000,7142-171-59,דירה בבית,4,28599
23,בלפור 103,56.89,2025,1710000,7130-239-15,דירה בבית,2.5,30058
24,הפטמן 6,57.9,2025,1740000,7130-251-8,דירה בבית,3,30052
25,הרב קוק 11,148,2025,3820000,7144-102-21,דירה בבית,5,25811
26,העצמאות 30,80.25,2025,2130000,7136-216-9,דירה בבית,4,26542
27,דניאל 8,61.79,2025,1670000,7149-199-7,דירה בבית,2.5,27027
28,הרב עוזיאל 5,78,2025,1450000,7148-198-47,דירה בבית,3,18590
29,בלפור 47,45,2025,1810000,7148-31-45,דירה בבית,2,40222
30,בלפור 95,42.45,2025,1555000,7136-284-28,דירה בבית,2,36631
31,ירושלים 28,46.69,2025,1650000,7148-54-38,דירה בבית,2.5,35339
32,בלפור 86,77.5,2025,1800000,7140-290-11,דירה בבית,4,23226
33,דניאל 38,43,2025,1770000,7150-331-9,דירה בבית,2,41163
35,הרב עוזיאל 25,57.28,2025,1820000,7150-314-19,דירה בבית,2.5,31774
36,זמנהוף 15,40,2025,1695000,7136-325-8,דירה בבית,2,42375
37,בלפור 90,79.8,2025,1920000,7140-286-30,דירה בבית,4,24060
38,ז'בוטינסקי 6,64,2025,1836000,7142-96-147,דירה בבית,2,28688
39,העצמאות 40,47.5,2025,1100000,7148-189-9,דירה בבית,2,23158
40,בלפור 83,60,2025,2678000,7136-246-21,דירה בבית,3,44633
41,בלפור 86,60.5,2025,1700000,7140-290-28,דירה בבית,2,28099
42,הרב קוקיס 25,80.41,2025,2570000,7141-202-2,דירה בבית,4,31961
43,שלום עליכם 12,58,2025,1600000,7136-348-8,דירה בבית,3,27586
45,רוטשילד 20,69,2025,2260000,7148-29-13,דירה בבית,3,32754
46,הרב קוק 20,104,2025,3028000,7148-170-16,דירה בבית,4,29115
47,קדושי קהיר 10,63.8,2025,1850000,7148-169-5,דירה בבית,3.5,28997
48,הרצל 66,57.3,2025,2257000,7141-78-16,דירה בבית,2,39389
51,ירושלים 26,72,2025,1500000,7148-55-33,דירה בבית,3,20833
52,קדושי קהיר 7,99,2025,2990000,7148-138-3,דירה בבית,4,30202
53,יחזקאל דנין 12,55.44,2025,1725000,7130-248-13,דירה בבית,2.5,31115
54,הרב עוזיאל 12,37.41,2025,1585000,7136-203-5,דירה בבית,2.5,42368
55,ארלוזורוב 67,88,2025,2080000,7141-140-6,דירה בבית,4,23636
56,רוטשילד 44,37.5,2025,1550000,7149-192-19,דירה בבית,1.5,41333
57,צהל 2,59.94,2025,1790000,7148-188-16,דירה בבית,3,29863
58,בלפור 84,84,2025,1755000,7141-224-104,דירה בבית,3.5,20893
59,יחזקאל דנין 17,60.4,2025,1800000,7136-401-1,דירה בבית,3,29801
60,הרב קוקיס 25,92.9,2025,2780000,7141-202-3,דירה בבית,4,29925
62,בלפור 74,76,2025,1950000,7141-112-13,דירה בבית,4,25658
