city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
טבריה,מורדות טבריה,1,צאלון 3,65.08,2025,1200000,15159-32-11,דירה בבית,3,18439
טבריה,מורדות טבריה,2,הדקל 35,92.8,2025,1300000,15159-16-54,דירה בבית,4,14009
טבריה,מורדות טבריה,3,צאלון 8,118,2025,1630000,15063-298-2,דירה בבית,4,13814
טבריה,מורדות טבריה,4,בר כוכבא 75,108,2025,1650000,15038-173-66,דירה בבית,5,15278
טבריה,מורדות טבריה,6,שקד 52,66.13,2025,940000,15791-19-6,דירה בבית,3,14214
טבריה,מורדות טבריה,7,יערה 8,77.59,2025,1080000,15792-6-5,דירה בבית,4,13919
טבריה,מורדות טבריה,8,שיזף 26,87,2025,920000,15793-49-2,דירה בבית,4,10575
טבריה,מורדות טבריה,11,תמר 51,67.77,2025,870000,15791-11-8,דירה בבית,3,12838
טבריה,מורדות טבריה,12,חצב 26,59.75,2025,845000,15792-16-5,דירה בבית,3,14142
טבריה,מורדות טבריה,14,הנרקיס 12,72.8,2025,1250000,15063-242-6,דירה בבית,4,17170
טבריה,מורדות טבריה,15,רותם 8,62.14,2025,456000,15792-46-6,דירה בבית,2,7338
טבריה,מורדות טבריה,16,הנרקיס 1,147,2025,1100000,15063-166-3,דירה בבית,5,7483
טבריה,מורדות טבריה,17,בר כוכבא 75,110,2025,1135000,15038-173-67,דירה בבית,4,10318
טבריה,מורדות טבריה,19,צאלון 38,164,2025,2680000,15063-266-13,דירה בבית,6,16341
טבריה,מורדות טבריה,20,הדקל 35,66.8,2025,1000000,15159-16-38,דירה בבית,3,14970
טבריה,מורדות טבריה,21,חצב 8,76,2025,850000,15792-20-1,דירה בבית,3,11184
טבריה,מורדות טבריה,22,צאלון 42,123,2025,2060000,15063-266-40,דירה בבית,6,16748
טבריה,מורדות טבריה,23,תמר 23,62.14,2025,1020000,15791-6-1,דירה בבית,2,16415
טבריה,מורדות טבריה,24,צאלון 39,100,2025,1590000,15159-24-10,דירה בבית,4,15900
טבריה,מורדות טבריה,25,בר כוכבא 75,108,2025,1570000,15038-173-70,דירה בבית,5,14537
טבריה,מורדות טבריה,27,כליל החורש 25,100.33,2025,870000,15792-36-2,דירה בבית,3,8671
טבריה,מורדות טבריה,28,קקל 27,110,2025,870000,15063-114-7,דירה בבית,3,7909
טבריה,מורדות טבריה,29,קקל 31,109.4,2025,1275000,15063-115-6,דירה בבית,5,11654
טבריה,מורדות טבריה,30,צאלון 42,123,2025,1880000,15063-266-39,דירה בבית,6,15285
טבריה,מורדות טבריה,31,תמר 35,81.82,2025,990000,15791-15-10,דירה בבית,3,12100
טבריה,מורדות טבריה,32,בר כוכבא 75,128,2025,2120000,15038-173-71,דירה בבית,6,16563
