city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,רמת אשכול,490,רפידים 2,81.5,2018,2450000,30100-168-36,דירה בבית,4,30061
ירושלים,רמת אשכול,491,ששת הימים 4,79.5,2018,2000000,30246-4-16,דירה בבית,4,25157
ירושלים,רמת אשכול,492,ים סוף 5,87,2018,2180000,30245-208-31,דירה בבית,3,25057
ירושלים,רמת אשכול,493,המיתלה 3,69.8,2018,2260000,30100-173-28,דירה בבית,3,32378
ירושלים,רמת אשכול,494,יוטבתה 1,131,2018,4299000,30100-181-14,דירה בבית,6,32817
ירושלים,רמת אשכול,495,ים סוף 5,65,2018,1934000,30245-208-42,דירה בבית,3,29754
ירושלים,רמת אשכול,496,ים סוף 5,75,2018,2326000,30245-208-30,דירה בבית,3,31013
ירושלים,רמת אשכול,497,פארן 7,83.3,2018,2000000,30246-15-109,דירה בבית,4,24010
ירושלים,רמת אשכול,498,פארן 7,52.7,2018,1290000,30246-15-141,דירה בבית,2,24478
ירושלים,רמת אשכול,499,תמנע 4,103,2018,2950000,30100-155-10,דירה בבית,4,28641
ירושלים,רמת אשכול,500,ים סוף 5,91,2018,2050000,30245-208-29,דירה בבית,4,22527
ירושלים,רמת אשכול,551,פארן 3,74,2018,1900000,30246-11-16,דירה בבית,3,25676
ירושלים,רמת אשכול,552,ששת הימים 3,74,2018,2000000,30246-9-10,דירה בבית,3,27027
