מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
3,זבולון 6,68,2025,1506000,10444-2484-19,דירה בבית,3,22147
4,נעמן 1,139.4,2025,1800000,10444-338-4,דירה בבית,5,12912
5,בר יהודה 6,102.14,2025,1275000,10444-1473-24,דירה בבית,5,12483
6,זלמן ארן 1,78.1,2025,1225000,10444-1555-7,דירה בבית,3,15685
7,0,95.8,2025,1227200,10444-2397-13,דירה בבית,4,12810
8,בן צבי 25,49.35,2025,1035000,10444-1458-51,דירה בבית,3,20973
9,אלי כהן 12,72,2025,1050000,10444-1554-17,דירה בבית,3,14583
10,משה שפירא 6,46,2025,1200000,10444-1551-19,דירה בבית,3,26087
11,משה שפירא 6,46.7,2025,725000,10444-1550-19,דירה בבית,3,15525
14,שרת משה 5,60.3,2025,1000000,10444-1476-24,דירה בבית,3,16584
15,ראובן 3,155,2025,2150000,10444-2471-4,דירה בבית,6,13871
16,ירושלים 41,86.9,2025,1400000,10452-25-20,דירה בבית,4,16110
17,משה שרת 8,101.45,2025,1520000,10444-2401-61,דירה בבית,3,14983
18,בן צבי 1,61.12,2025,1430000,10444-1104-30,דירה בבית,3,23397
19,יוספטל 10,68.5,2025,1800000,10444-1823-18,דירה בבית,2.5,26277
20,בר יהודה 2,82.3,2025,1405000,10444-1474-24,דירה בבית,4,17072
21,יוספטל 10,68.5,2025,1800000,10444-1823-16,דירה בבית,3,26277
22,אלי כהן 2,50.6,2025,1150000,10444-1472-22,דירה בבית,3,22727
23,בר יהודה 2,100.8,2025,1450000,10444-1474-66,דירה בבית,3.5,14385
24,ירושלים 43,87.58,2025,1150000,10452-24-13,דירה בבית,3,13131
25,ירושלים 41,86.82,2025,1390000,10452-25-24,דירה בבית,4,16010
26,נעמן 9,77,2025,865000,10444-347-4,דירה בבית,4,11234
27,שרת משה 5,60.3,2025,1080000,10444-1476-25,דירה בבית,3,17910
28,הנרייטה סאלד 8,200,2025,2880000,10444-257-2,דירה בבית,6,14400
29,שרת משה 3,60.3,2025,1200000,10444-1476-14,דירה בבית,3,19900
31,ירושלים 43,87.51,2025,1250000,10452-24-2,דירה בבית,4,14284
32,ירושלים 41,86.32,2025,1395000,10452-25-21,דירה בבית,4,16161
34,אלי כהן 51,71.65,2025,1150000,10451-28-19,דירה בבית,3,16050
35,שרת משה 41,72.4,2025,1275000,10444-1509-19,דירה בבית,3,17610
36,שרת משה 67,75.9,2025,1230000,10444-1538-10,דירה בבית,4,16206
37,אלי כהן 39,78.8,2025,890000,10444-1559-8,דירה בבית,3,11294
39,0,76.71,2025,1170000,10444-2395-37,דירה בבית,4,15252
40,שרת משה 45,69.5,2025,1180000,10444-1509-6,דירה בבית,3,16978
42,משה שפירא 10,58.13,2025,600000,10444-2422-30,דירה בבית,3,10322
43,זלמן ארן 10,58.6,2025,836000,10444-1541-1,דירה בבית,3,14266
44,ירושלים 41,87.98,2025,1390000,10452-25-23,דירה בבית,4,15799
45,יוספטל 6,68.5,2025,1163000,10444-1821-28,דירה בבית,4,16978
46,ירושלים 41,86.3,2025,1390000,10452-25-26,דירה בבית,4,16107
47,בנימין 5,38.3,2025,1000000,10444-2451-1,דירה בבית,2,26110
48,בן צבי 25,49.35,2025,931200,10444-1458-30,דירה בבית,3,18869
50,העלייה 9,128,2025,1175000,10444-335-4,דירה בבית,4,9180
51,שפרינצק 6,61.67,2025,1050000,10444-1633-14,דירה בבית,3,17026
52,בר יהודה 2,103.5,2025,1500000,10444-1474-21,דירה בבית,5,14493
53,בן צבי 1,61.12,2025,1350000,10444-1104-19,דירה בבית,3,22088
54,משה שרת 8,89.82,2025,1292900,10444-2401-31,דירה בבית,4,14394
55,אלי כהן 49,54.2,2025,1150000,10444-1561-31,דירה בבית,3,21218
57,משה שפירא 6,23,2025,375000,10444-1551-4,דירה בבית,2,16304
58,אלי כהן 39,73.7,2025,1130000,10444-1559-14,דירה בבית,3,15332
59,יוספטל 8,68.5,2025,1750000,10444-1822-3,דירה בבית,4,25547
60,שפרינצק 2,44.2,2025,1040000,10444-1626-12,דירה בבית,3,23529
61,אלי כהן 21,52.2,2025,970000,10444-1481-60,דירה בבית,3,18582
62,משה שרת 25,61.2,2025,1250000,10444-1463-54,דירה בבית,3,20425
63,משה שרת 8,102.39,2025,1280000,10444-2401-60,דירה בבית,4,12501
64,הגעתון 9,63.21,2025,870000,10444-369-3,דירה בבית,4,13764
65,צהל 7,65,2025,1222200,10444-1987-25,דירה בבית,3,18803
66,משה שרת 79,59.4,2024,1230000,10444-1537-59,דירה בבית,3,20707
67,הברוש 6,151.24,2024,1600000,10444-1466-2,קוטג' דו משפחתי,6,10579
68,שרת משה 41,69.5,2024,1130000,10444-1509-24,דירה בבית,3,16259
69,יהודה 6,44.2,2024,1210000,10444-1839-4,דירה בבית,3,27376
71,אלי כהן 41,73.7,2024,1050000,10444-1560-11,דירה בבית,3,14247
73,צהל 3,48.91,2024,1200000,10444-1105-3,דירה בבית,2,24535
74,אלי כהן 41,73.7,2024,1060000,10444-1560-16,דירה בבית,3,14383
76,אלי כהן 26,68.2,2024,1222000,10444-1562-24,דירה בבית,4,17918
77,מרטין בובר 2,65.8,2024,1040000,10444-1420-64,דירה בבית,3,15805
78,יוספטל 10,68.5,2024,1785700,10444-1823-21,דירה בבית,3,26069
79,אלי כהן 49,54.2,2024,1145000,10444-1561-28,דירה בבית,3,21125
80,צהל 7,65,2024,1290000,10444-1987-17,דירה בבית,3,19846
81,הנרייטה סאלד 12,106,2024,387000,10444-254-1,קוטג' דו משפחתי,4,3651
82,העלייה 4,112.6,2024,2150000,10444-329-1,דירה בבית,5,19094
83,0,93.49,2024,1325000,10444-2390-33,דירה בבית,4,14173
84,הרברט להמן 25,60,2024,1125000,10444-2458-1,דירה בבית,3,18750
85,יוספטל 8,68.5,2024,1650000,10444-1822-21,דירה בבית,3.5,24088
86,אלי כהן 41,78.8,2024,1180000,10444-1560-2,דירה בבית,3,14975
87,0,81.52,2024,1100000,10444-2390-15,דירה בבית,4,13494
88,מרטין בובר 2,65.8,2024,989800,10444-1420-52,דירה בבית,3,15043
89,משה שרת 8,90.17,2024,1310000,10444-2401-14,דירה בבית,4,14528
90,בן צבי 3,75,2024,1440000,10444-1104-33,דירה בבית,4,19200
91,שפרינצק 5,44.2,2024,1150000,10444-1852-15,דירה בבית,3,26018
92,יוספטל 10,68.5,2024,1700000,10444-1823-10,דירה בבית,4,24818
93,אלי כהן 7,55.7,2024,985000,10444-1896-28,דירה בבית,3,17684
94,בן צבי 12,53.1,2024,1025000,10444-1505-13,דירה בבית,3,19303
96,משה שפירא 10,58.15,2024,1500000,10444-2422-40,דירה בבית,3,25795
97,משה שרת 81,69.1,2024,1285000,10444-1563-5,דירה בבית,3,18596
98,מרטין בובר 2,65.8,2024,1040000,10444-1420-59,דירה בבית,3,15805
99,חנה סנש 8,58.3,2024,1065000,10444-1544-8,דירה בבית,3,18268
100,בן צבי 1,61.12,2024,1025000,10444-1104-14,דירה בבית,3,16770
101,בן צבי 20,53.1,2024,1000000,10444-1503-5,דירה בבית,3,18832
102,משה שפירא 6,46,2024,1150000,10444-1551-7,דירה בבית,3,25000
103,שמעון 8,78,2024,1640000,10444-2470-2,דירה בבית,4,21026
104,יוספטל 13,45.1,2024,600000,10444-1855-14,דירה בבית,3,13304
105,משה שרת 81,68.3,2024,980000,10444-1563-17,דירה בבית,3,14348
106,שרת משה 5,60.3,2024,1290000,10444-1476-20,דירה בבית,3,21393
107,צהל 3,75.61,2024,900000,10444-1105-103,דירה בבית,3,11903
108,אלי כהן 61,77.17,2024,1300000,10451-28-77,דירה בבית,3,16846
110,צהל 17,52.7,2024,1335000,10444-1674-1,דירה בבית,3,25332
111,שפרינצק 5,44.2,2024,1200000,10444-1852-17,דירה בבית,3,27149
112,שפרינצק 3,44.2,2024,1100000,10444-1850-3,דירה בבית,3,24887
113,שרת משה 55,83.5,2024,850000,10444-1539-27,דירה בבית,3,10180
114,חנה סנש 20,72.3,2024,1065000,10444-1543-17,דירה בבית,3,14730
