מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,תל אביב - יפו,תל כביר נווה עופר י,זלמן שזר 56,61.45,2025,2630000,6993-123-38,דירה בבית,3,42799
2,תל אביב - יפו,תל כביר נווה עופר י,גרינבוים 29,74.5,2025,2150000,7055-51-42,דירה בבית,3.5,28859
3,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 39,60.25,2025,2450000,7055-33-71,דירה בבית,3,40664
4,תל אביב - יפו,תל כביר נווה עופר י,שקד 16,65.21,2025,2170000,6993-74-17,דירה בבית,3,33277
5,תל אביב - יפו,תל כביר נווה עופר י,קורקידי 6,49.9,2025,2000000,6993-70-10,דירה בבית,3,40080
6,תל אביב - יפו,תל כביר נווה עופר י,צונץ 36,72.1,2025,2275000,6992-22-24,דירה בבית,4,31553
7,תל אביב - יפו,תל כביר נווה עופר י,זלמן שזר 19,49.4,2025,490000,6991-43-21,דירה בבית,3,9919
8,תל אביב - יפו,תל כביר נווה עופר י,זלמן שזר 45,61,2025,1900000,6993-124-42,דירה בבית,3,31148
9,תל אביב - יפו,תל כביר נווה עופר י,זלמן שזר 33,83,2025,1800000,6993-39-40,דירה בבית,3,21687
10,תל אביב - יפו,תל כביר נווה עופר י,צונץ 22,59,2025,2380000,6992-26-7,דירה בבית,3,40339
12,תל אביב - יפו,תל כביר נווה עופר י,שקד 23,66,2025,2325000,6993-139-48,דירה בבית,3,35227
13,תל אביב - יפו,תל כביר נווה עופר י,צונץ 3,72.1,2025,2200000,6992-47-18,דירה בבית,3.5,30513
14,תל אביב - יפו,תל כביר נווה עופר י,צונץ 40,72.5,2025,1900000,6992-20-18,דירה בבית,3.5,26207
15,תל אביב - יפו,תל כביר נווה עופר י,שקד 34,66.14,2025,2220000,6993-121-16,דירה בבית,3,33565
16,תל אביב - יפו,תל כביר נווה עופר י,שקד 15,70.3,2025,2250000,6993-99-16,דירה בבית,3,32006
17,תל אביב - יפו,תל כביר נווה עופר י,שקד 23,66,2025,1950000,6993-139-70,דירה בבית,3,29545
20,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 28,53.7,2025,2209000,7055-35-31,דירה בבית,3,41136
21,תל אביב - יפו,תל כביר נווה עופר י,שקד 26,65.21,2025,2050000,6993-63-22,דירה בבית,3,31437
22,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 12,61.5,2025,2230000,7055-53-90,דירה בבית,3,36260
24,תל אביב - יפו,תל כביר נווה עופר י,זלמן שזר 29,94.5,2024,2700000,6993-39-90,דירה בבית,4,28571
25,תל אביב - יפו,תל כביר נווה עופר י,צונץ 36,72.5,2024,2350000,6992-22-7,דירה בבית,4,32414
26,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 17,71.3,2024,2800000,7055-33-181,דירה בבית,4.5,39271
28,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 12,62.7,2024,2150000,7055-53-49,דירה בבית,3,34290
29,תל אביב - יפו,תל כביר נווה עופר י,שיק 20,68.71,2024,2160000,6993-64-16,דירה בבית,3,31436
30,תל אביב - יפו,תל כביר נווה עופר י,שקד 48,61.73,2024,2350000,6993-121-73,דירה בבית,3,38069
31,תל אביב - יפו,תל כביר נווה עופר י,מנחם ארבר 28,50.6,2024,2250000,7055-35-32,דירה בבית,2,44466
32,תל אביב - יפו,תל כביר נווה עופר י,גרינבוים 17,88.3,2024,2200000,7055-33-179,דירה בבית,4,24915
33,תל אביב - יפו,תל כביר נווה עופר י,שיק 22,68.71,2024,2260000,6993-64-28,דירה בבית,3,32892
34,תל אביב - יפו,תל כביר נווה עופר י,דקל 3,80.13,2024,2400000,6991-95-17,דירה בבית,3,29951
35,תל אביב - יפו,תל כביר נווה עופר י,תל גבורים 26,44.83,2024,340000,6991-32-3,דירה בבית,3,7584
36,תל אביב - יפו,תל כביר נווה עופר י,תל גבורים 26,43.93,2024,1900000,6991-32-19,דירה בבית,3,43251
37,תל אביב - יפו,תל כביר נווה עופר י,צונץ 3,72.5,2024,2220000,6992-47-13,דירה בבית,4,30621
38,תל אביב - יפו,תל כביר נווה עופר י,שקד 15,70.3,2024,2200000,6993-99-39,דירה בבית,3,31294
