מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,0,115,2025,1700000,17825-165-5,דירה בבית,4,14783
2,0,121,2025,1880000,16538-50-15,דירה בבית,5,15537
3,0,101,2025,1496000,17825-127-1,דירה בבית,4,14812
4,0,126,2025,1760000,16538-50-16,דירה בבית,4,13968
5,0,121,2025,1900000,16538-50-18,דירה בבית,5,15702
7,רח' 5047 19,93.6,2025,1200000,16533-52-9,דירה בבית,4,12821
8,0,121,2025,1900000,16538-50-19,דירה בבית,5,15702
9,0,106.45,2025,1500000,17827-152-4,דירה בבית,4,14091
10,רח' 5048 48,90,2025,1300000,16533-49-9,דירה בבית,4,14444
12,רח' 5098 10,95,2025,700000,16543-149-6,דירה בבית,4,7368
14,0,120,2025,1800000,17825-127-2,דירה בבית,5,15000
15,רח' 5048 47,113,2025,1350000,16533-56-15,דירה בבית,4,11947
17,0,100,2025,1490000,17825-127-3,דירה בבית,4,14900
18,0,102,2025,1680000,17825-130-2,דירה בבית,4,16471
19,רח' 7214 18,113,2025,1420000,17827-85-57,דירה בבית,4,12566
23,רח' 5047 19,93.6,2025,850000,16533-52-12,דירה בבית,4,9081
24,0,121,2025,1850000,16538-50-20,דירה בבית,5,15289
25,0,148,2025,2700000,17827-42-1,דירת,5,18243
27,0,104,2025,1690000,17825-121-5,דירה בבית,4,16250
28,רח' 5048 44,102,2025,1150000,16533-92-42,דירה בבית,3,11275
29,0,121,2025,1900000,16538-50-22,דירה בבית,5,15702
30,רח' 5047 34,97.11,2025,1065000,16533-50-86,דירה בבית,4,10967
31,רח' 7207 10,129,2025,1200000,17825-211-28,דירה בבית,4,9302
32,רח' 5048 48,90,2025,1000000,16533-49-10,דירה בבית,4,11111
33,0,120,2025,1690000,17825-127-4,דירה בבית,5,14083
34,רח 5099 11,86.5,2025,650000,16543-142-15,דירה בבית,4,7514
38,רח' 5100 10,98,2025,650000,16543-153-3,דירה בבית,3,6633
39,רח' 5048 13,81.3,2025,1150000,16533-45-30,דירה בבית,4,14145
40,רח' 5007 4,87.92,2025,1150000,16525-45-15,דירה בבית,3,13080
42,רח' 5048 46,93.2,2025,1420000,16533-92-23,דירה בבית,4,15236
