city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
אשקלון,כוכב הצפון,275,אלי כהן 53,84,2017,1145000,2880-13-8,דירה בבית,3,13631
אשקלון,כוכב הצפון,276,רבי מאיר 6,63.2,2017,900000,1201-140-7,דירה בבית,3,14241
אשקלון,כוכב הצפון,277,מנחם בגין 32,60.3,2017,899000,2879-43-14,דירה בבית,3,14909
אשקלון,כוכב הצפון,278,רמבם 14,88.9,2017,1080000,1201-122-14,דירה בבית,4,12148
אשקלון,כוכב הצפון,279,0,98,2017,100000,1243-1-24,דירה בבית,4,1020
אשקלון,כוכב הצפון,280,רמבם 30,64.3,2017,1000000,2879-44-4,דירה בבית,4,15552
אשקלון,כוכב הצפון,281,משה קול 6,67.3,2017,856000,2880-36-8,דירה בבית,3,12719
אשקלון,כוכב הצפון,282,מנחם בגין 38,108,2017,1030000,1201-89-8,דירה בבית,3,9537
אשקלון,כוכב הצפון,283,משה קול 5,67.3,2017,1075000,2880-10-16,דירה בבית,4,15973
אשקלון,כוכב הצפון,284,מנחם בגין 36,84.1,2017,1342000,1201-87-7,דירת גן,4,15957
אשקלון,כוכב הצפון,285,0,100,2017,1189000,1243-17-11,דירה בבית,4,11890
אשקלון,כוכב הצפון,286,אנה פרנק 10,64.9,2017,820000,2879-10-15,דירה בבית,3,12635
אשקלון,כוכב הצפון,287,אלי כהן 53,79,2017,800000,2880-13-9,דירה בבית,3,10127
אשקלון,כוכב הצפון,288,אבן עזרא 63,72,2017,920000,1201-109-5,דירה בבית,3,12778
אשקלון,כוכב הצפון,289,רמבם 20,63.5,2017,719000,1201-105-12,דירה בבית,3,11323
אשקלון,כוכב הצפון,290,רמבם 12,63.5,2017,905000,1201-136-16,דירה בבית,3,14252
אשקלון,כוכב הצפון,291,משה קול 1,69,2017,800000,2880-14-15,דירה בבית,3,11594
אשקלון,כוכב הצפון,292,0,99,2017,1370000,1243-1-25,דירה בבית,4,13838
אשקלון,כוכב הצפון,293,רמבם 24,67.1,2017,865000,1201-94-5,דירה בבית,3,12891
