מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
79,אורי אלמוג 9,135,2024,4425000,6874-89-14,דירה בבית,6,32778
80,אורי אלמוג 9,118,2024,3700000,6874-89-15,דירה בבית,5,31356
81,שמעון אבידן 10,99.24,2024,2800000,6873-88-162,דירה בבית,4,28214
82,אורי אלמוג 11,135,2024,4250000,6874-90-16,דירה בבית,6,31481
84,אברהם יפה 5,99.77,2024,3120000,6873-84-80,דירה בבית,4,31272
85,משה רינת 24,124,2024,3450000,6874-101-15,דירה בבית,5,27823
86,אורי אלמוג 9,135,2024,4280000,6874-89-16,דירה בבית,6,31704
87,אורי אלמוג 1,125,2024,3300000,6874-85-9,דירה בבית,5,26400
88,דוד שאלתיאל 12,115.7,2024,3220000,6873-91-54,דירה בבית,5,27831
89,משה רינת 26,151,2024,3900000,6874-102-27,דירה בבית,6,25828
90,אריק איינשטיין 5,120,2024,3800000,6874-114-14,דירה בבית,5,31667
91,משה רינת 14,134,2024,4350000,6874-99-11,דירה בבית,6,32463
92,משה רינת 32,126,2024,525000,6874-105-5,דירה בבית,5,4167
94,אורי אלמוג 17,144,2024,4786000,6874-93-14,דירת גן,5,33236
95,מרדכי שפיגל 1,114,2024,3500000,6874-95-15,דירה בבית,4,30702
96,אריק איינשטיין 6,207,2024,6800000,6874-109-4,דירה בבית,6,32850
97,אורי אלמוג 9,145,2024,4600000,6874-89-19,דירה בבית,6,31724
98,עוזי נרקיס 3,105.36,2024,700000,6873-15-20,דירה בבית,5,6644
99,מנחם בגין 14,120.38,2024,3100000,6873-8-14,דירה בבית,5,25752
100,מרדכי שפיגל 5,155,2024,1850000,6874-96-12,דירה בבית,5,11935
101,משה רינת 28,170,2024,6350000,6874-103-24,דירה בבית,6,37353
102,אורי אלמוג 17,150,2024,4170000,6874-93-19,דירה בבית,5,27800
103,משה רינת 10,126,2024,2775000,6874-98-20,דירה בבית,5,22024
104,רבין יצחק 38,120.25,2024,3260000,6873-11-6,דירה בבית,5,27110
106,משה רינת 1,120,2024,1469000,6874-97-1,דירה בבית,5,12242
107,משה רינת 34,127.5,2024,3300000,6874-106-3,דירה בבית,5,25882
108,משה רינת 10,119,2024,3350000,6874-98-21,דירה בבית,5,28151
109,אורי אלמוג 5,135,2024,3690000,6874-87-21,דירה בבית,5,27333
110,אריק איינשטיין 5,121,2024,3920000,6874-114-15,דירה בבית,5,32397
111,משה רינת 4,140,2024,3700000,6874-83-19,דירה בבית,5,26429
112,אריק איינשטיין 6,111,2024,3860000,6874-109-5,דירה בבית,4,34775
115,משה רינת 24,134,2024,3700000,6874-101-6,דירה בבית,5,27612
116,אורי אלמוג 17,125,2024,4170000,6874-93-20,דירה בבית,5,33360
118,משה רינת 14,134,2024,4550000,6874-99-12,דירה בבית,6,33955
119,אורי אלמוג 11,110,2024,926000,6874-90-17,דירה בבית,5,8418
120,משה רינת 24,123,2024,3650000,6874-101-16,דירה בבית,5,29675
121,אריק איינשטיין 10,130,2024,3800000,6874-107-28,דירה בבית,6,29231
122,אורי אלמוג 11,134,2024,4400000,6874-90-18,דירה בבית,6,32836
123,משה רינת 10,119,2024,3325000,6874-98-24,דירה בבית,5,27941
124,משה רינת 4,128,2024,3850000,6874-83-20,דירה בבית,5,30078
126,אריק איינשטיין 10,119,2024,1675000,6874-107-29,דירה בבית,5,14076
127,אריק איינשטיין 5,120,2024,3690000,6874-114-16,דירה בבית,5,30750
