city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רמלה,אשכול,41,יהודה שטיין 18,56.9,2023,1080000,5807-47-24,דירה בבית,3,18981
רמלה,אשכול,42,לוי אשכול 4,56.9,2023,1000000,5806-43-31,דירה בבית,3,17575
רמלה,אשכול,43,יהודה שטיין 18,56.9,2023,1080000,5807-47-29,דירה בבית,3,18981
רמלה,אשכול,44,יצחק בן צבי 18,82.5,2023,501000,5806-51-35,דירה בבית,3,6073
רמלה,אשכול,45,יהודה שטיין 14,56.9,2023,70000,5807-45-15,דירה בבית,3,1230
רמלה,אשכול,46,משה חיים שפירא 12,71,2023,2400000,5806-4-1,דירה בבית,3,33803
רמלה,אשכול,47,יצחק בן צבי 30,33.4,2023,800000,5805-53-20,דירה בבית,2,23952
רמלה,אשכול,48,גיבורי ישראל 2,79.8,2023,222000,5807-38-12,דירה בבית,4,2782
רמלה,אשכול,49,גיבורי ישראל 4,56.9,2023,1130000,5807-37-16,דירה בבית,3,19859
רמלה,אשכול,50,יהודה שטיין 18,56.9,2023,1125000,5807-47-23,דירה בבית,3,19772
רמלה,אשכול,51,יהודה שטיין 16,56.9,2023,547000,5807-46-19,דירה בבית,3,9613
רמלה,אשכול,52,יצחק בן צבי 16,62.3,2023,527000,5806-51-19,דירה בבית,3,8459
רמלה,אשכול,53,יצחק בן צבי 16,64.2,2023,1200000,5806-51-5,דירה בבית,3,18692
רמלה,אשכול,54,יצחק בן צבי 2,56.9,2023,392000,5806-44-18,דירה בבית,3,6889
רמלה,אשכול,55,יצחק בן צבי 8,82.53,2023,644000,5806-46-24,דירה בבית,4,7803
רמלה,אשכול,56,יצחק בן צבי 28,38.5,2023,226000,5805-52-15,דירה בבית,2,5870
רמלה,אשכול,57,יצחק בן צבי 14,62.28,2023,1250000,5806-46-123,דירה בבית,3,20071
רמלה,אשכול,58,יצחק בן צבי 14,62.28,2023,1300000,5806-46-97,דירה בבית,3,20873
רמלה,אשכול,59,צהל 13,56.9,2023,1000000,5806-41-23,דירה בבית,3,17575
רמלה,אשכול,60,יצחק בן צבי 30,38.45,2023,450000,5805-53-9,דירה בבית,2,11704
רמלה,אשכול,61,לוי אשכול 12,97.8,2023,225000,5806-32-2,קוטג' דו משפחתי,4,2301
רמלה,אשכול,62,יצחק בן צבי 26,34.8,2023,405000,5805-51-9,דירה בבית,2,11638
רמלה,אשכול,63,יצחק בן צבי 12,62.28,2023,650000,5806-46-77,דירה בבית,3,10437
רמלה,אשכול,64,יצחק בן צבי 12,62.28,2023,1270000,5806-46-75,דירה בבית,3,20392
רמלה,אשכול,65,יצחק בן צבי 28,38.5,2023,639000,5805-52-22,דירה בבית,2,16597
רמלה,אשכול,66,גיבורי ישראל 4,56.9,2023,996000,5807-37-14,דירה בבית,3,17504
רמלה,אשכול,67,גיבורי ישראל 4,56.9,2023,600000,5807-37-18,דירה בבית,3,10545
רמלה,אשכול,68,יצחק בן צבי 28,38.5,2023,1000000,5805-52-25,דירה בבית,2,25974
