מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,לוי 5,124.35,2025,4205000,5813-8-43,דירת גן,5,33816
5,יצחק רבין 29,103.4,2025,2850000,5812-117-12,דירה בבית,4,27563
6,שבטי ישראל 26,151.8,2025,5380000,5814-4-75,דירה בבית,5,35441
7,ראובן 25,109.51,2025,3600000,5815-77-2,דירה בבית,5,32874
8,אשר 7,202,2025,6980000,5815-84-2,קוטג' דו משפחתי,6,34554
9,לוי 15,89.95,2025,2930000,5813-8-5,דירה בבית,4,32574
10,יהודה 93,176,2025,4250000,5812-120-2,דירה בבית,6,24148
11,יצחק רבין 45,136.8,2025,4675000,5812-8-9,דירה בבית,5,34174
12,יצחק רבין 1,122.25,2025,4100000,5813-7-12,דירה בבית,5,33538
14,יצחק רבין 3,98.16,2024,3250000,5813-7-21,דירה בבית,4,33109
18,0,124,2024,3120000,5812-116-1,דירה בבית,4.5,25161
19,יהודה 103,152.4,2024,4620000,5812-118-7,דירה בבית,5,30315
21,בנימין 41,159.1,2024,5365000,5814-53-3,דירה בבית,6,33721
22,יצחק רבין 45,127.65,2024,4150000,5812-8-12,דירה בבית,5,32511
23,נפתלי 5,97.37,2024,3500000,5813-14-37,דירה בבית,4,35945
25,שבטי ישראל 32,156.15,2024,4831000,5814-4-17,דירת גן,5,30938
32,שבטי ישראל 14,133.6,2024,4750000,5814-5-6,דירה בבית,5,35554
33,לוי 15,123.2,2024,3900000,5813-8-1,דירה בבית,5,31656
36,יוסף 95,164.6,2024,3650000,5812-64-2,דירה בבית,6.5,22175
38,יהודה 31,193,2023,7000000,5814-113-2,קוטג' דו משפחתי,6,36269
40,יששכר 50,180,2023,5560000,5815-62-1,קוטג' דו משפחתי,6,30889
41,יצחק רבין 47,77.85,2023,2090000,5812-8-45,דירה בבית,3,26846
42,שבטי ישראל 30,135.3,2023,4605000,5814-4-49,דירה בבית,5,34035
43,אשר 37,176,2023,5510000,5815-96-3,קוטג' חד משפחתי,6,31307
44,יצחק רבין 49,125.85,2023,4030000,5812-8-35,דירה בבית,5,32022
47,יצחק רבין 29,101.4,2023,2550000,5812-117-9,דירה בבית,4,25148
48,יששכר 27,152,2023,5000000,5815-111-24,דירת גן,5.5,32895
