מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
268,אליעזר פרי 1,66.4,2023,700000,13167-87-5,דירה בבית,3,10542
269,ברל 21,88.3,2023,69000,13110-41-7,דירה בבית,4,781
270,שפרינצק 52,64.4,2023,235000,13135-136-13,דירה בבית,4,3649
271,הירדן 34,59.8,2023,725000,13168-48-21,דירה בבית,3,12124
273,תל חי 83,36,2023,685000,13167-7-235,דירה בבית,1,19028
274,שפרינצק 22,65.5,2023,630000,13135-120-8,דירה בבית,4,9618
275,נחל סער 1,101,2023,1675000,14717-48-11,דירה בבית,4,16584
276,שפרינצק 58,69,2023,750000,13135-112-7,דירה בבית,4,10870
277,משמר הגבול 2,66.9,2023,630000,13107-34-4,דירה בבית,3,9417
278,מלחמת ששת הימים 3,79.1,2023,620000,13145-78-20,דירה בבית,4,7838
281,נורית 24,75,2023,1170000,13376-117-3,דירה בבית,3,15600
282,נחל סער 1,104,2023,722000,14717-48-12,דירה בבית,4,6942
283,הרי גלבוע 3,113.53,2023,1520000,14084-33-1,דירת גן,4,13389
284,שפרינצק 39,65.9,2023,735000,13135-145-16,דירה בבית,4,11153
285,תל חי 83,21,2023,577000,13167-7-93,דירה בבית,1,27476
286,הרצל 92,53.8,2023,530000,13163-79-3,דירה בבית,2,9851
287,שפרינצק 39,65.9,2023,600000,13135-145-14,דירה בבית,4,9105
289,קרן היסוד 7,59.8,2023,245000,13168-38-18,דירה בבית,3,4097
290,נחל סער 13,93,2023,1650000,14717-45-11,דירה בבית,4,17742
291,נחל סער 13,114,2023,857000,14717-45-12,דירה בבית,4,7518
292,האצל 46,79.1,2023,870000,13097-13-3,דירה בבית,4,10999
293,נחל סער 13,119,2023,1730000,14717-45-13,דירה בבית,5,14538
294,דן 29,207.4,2023,1200000,13109-18-10,דירה בבית,5,5786
295,אחי אילת 2,64.7,2023,620000,13163-43-18,דירה בבית,4,9583
296,שפרינצק 50,64.4,2023,950000,13135-137-2,דירה בבית,3,14752
297,הוורדים 11,99.99,2023,880000,13379-32-24,דירה בבית,4,8801
298,תל חי 83,36,2023,685000,13167-7-207,דירה בבית,1,19028
299,האצל 38,61.9,2023,690000,13097-18-33,דירה בבית,3,11147
300,הר הצופים 13,99.1,2023,830000,13097-66-2,דירה בבית,4,8375
301,נחל סער 1,101,2023,765000,14717-48-17,דירה בבית,4,7574
302,נחל סער 1,99,2023,751000,14717-48-18,דירה בבית,4,7586
303,נחל סער 1,121,2023,948000,14717-48-19,דירה בבית,5,7835
304,המחתרת 11,63,2023,157000,13145-76-6,דירה בבית,4,2492
305,הלבנון 23,73.7,2023,347000,13105-69-30,דירה בבית,3,4708
306,תל חי 83,21,2023,685000,13167-7-289,דירה בבית,1,32619
307,נחל סער 13,73,2023,569000,14717-45-14,דירה בבית,3,7795
308,נחל סער 1,99,2023,739000,14717-48-24,דירה בבית,4,7465
310,תל חי 83,32,2023,500000,13167-7-193,דירה בבית,1,15625
311,נחל סער 1,99,2023,621000,14717-48-25,דירה בבית,3,6273
312,טרומפלדור 55,64.6,2023,198000,13167-81-15,דירה בבית,3,3065
313,האצל 9,87.9,2023,840000,13097-36-25,דירה בבית,4,9556
314,הירדן 24,77.9,2023,293000,13196-67-34,דירה בבית,4,3761
315,תל חי 56,73.9,2023,735000,13105-44-11,דירה בבית,3,9946
316,שפרינצק 7,65.9,2023,765000,13195-64-9,דירה בבית,4,11608
317,נחל סער 1,104,2023,771000,14717-48-30,דירה בבית,4,7413
318,סלומונוביץ 11,137.7,2023,1350000,13167-36-12,דירה בבית,6,9804
319,תל חי 83,36,2023,680000,13167-7-268,דירה בבית,1,18889
320,הרצל 40,96.6,2023,730000,13109-23-12,דירה בבית,3,7557
321,נחל סער 1,101,2023,1355000,14717-48-33,דירה בבית,4,13416
322,קרן היסוד 2,70.4,2023,340000,13168-49-19,דירה בבית,4,4830
323,נחל סער 1,101,2023,748000,14717-48-34,דירה בבית,4,7406
324,נחל סער 13,75,2023,1230000,14717-45-15,דירה בבית,3,16400
325,הגנה 15,67.7,2023,1450000,13168-19-2,דירה בבית,3,21418
326,נחל סער 1,104,2023,785000,14717-48-35,דירה בבית,4,7548
327,יהודה הלוי 9,61.4,2023,284000,13107-16-3,דירה בבית,3,4625
328,הבנים 3,64.7,2023,266000,13163-35-6,דירה בבית,4,4111
329,נחל סער 1,124,2023,771000,14717-48-42,דירה בבית,4,6218
330,תל חי 83,32,2023,500000,13167-7-127,דירה בבית,1,15625
331,הגלעד 7,66.9,2023,226000,13107-6-12,דירה בבית,4,3378
332,נחל סער 1,101,2023,1825000,14717-48-48,דירה בבית,4,18069
335,עין זהב 19,61,2023,335000,13184-33-5,דירה בבית,3,5492
336,הירדן 32,26.4,2023,244000,13168-50-4,דירה בבית,1,9242
337,נחל סער 13,125,2023,864000,14717-45-18,דירה בבית,4,6912
338,שפרינצק 4,68,2023,191000,13195-49-11,דירה בבית,4,2809
341,אורי אילן 6,103.8,2023,1380000,13196-61-2,דירה בבית,6,13295
342,אורן 38,198,2023,2200000,14716-50-1,קוטג' חד משפחתי,5,11111
343,טרומפלדור 55,64.6,2023,238000,13167-81-14,דירה בבית,3,3684
346,נחל סער 13,125,2023,947000,14717-45-42,דירה בבית,5,7576
347,הירדן 34,59.8,2023,680000,13168-48-23,דירה בבית,3,11371
348,קרן היסוד 4,59.8,2023,800000,13168-46-14,דירה בבית,3,13378
349,נחל סער 13,114,2023,856000,14717-45-43,דירה בבית,4,7509
350,תל חי 83,37,2023,685000,13167-7-298,דירה בבית,1,18514
351,הירדן 24,77.9,2023,882000,13196-67-30,דירה בבית,4,11322
352,הירדן 24,60.9,2023,720000,13196-67-25,דירה בבית,3,11823
353,קרן היסוד 9,69.5,2023,830000,13168-35-17,דירה בבית,4,11942
354,מנחם בגין 143,218,2023,2360000,13376-43-1,קוטג' חד משפחתי,5,10826
355,נחל סער 13,125,2023,949000,14717-45-44,דירה בבית,5,7592
356,עולי הגרדום 29,61.7,2023,171000,13163-68-34,דירה בבית,4,2771
357,הרצל 106,50.2,2023,715000,13163-83-2,דירה בבית,2,14243
358,תל חי 83,37,2023,685000,13167-7-265,דירה בבית,1,18514
359,נחל סער 13,118,2023,891000,14717-45-46,דירה בבית,5,7551
360,יקותיאל אדם 31,77.4,2023,1725000,13106-43-1,דירה בבית,4,22287
361,בוסתן 22,162,2023,2200000,14717-13-4,קוטג' דו משפחתי,6,13580
362,חבצלת 7,95,2023,1095000,13376-147-2,דירה בבית,6,11526
363,יהודה הלוי 6,50.6,2023,345000,13107-4-15,דירה בבית,3,6818
364,חצב 11,82.99,2023,840000,13377-5-55,דירה בבית,3,10122
365,הגלעד 5,70.3,2023,188000,13107-5-15,דירה בבית,4,2674
366,קרן היסוד 7,59.8,2023,198000,13168-38-21,דירה בבית,3,3311
367,הוורדים 13,81.91,2023,820000,13379-31-21,דירה בבית,3,10011
368,המחתרת 9,58.4,2023,162000,13145-77-6,דירה בבית,3,2774
369,יהודה הלוי 7,57.8,2023,200000,13107-15-12,דירה בבית,3,3460
370,עגנון 8,130,2023,375000,13161-205-1,דירה בבית,4,2885
371,הרצל 10,77.5,2023,710000,13145-81-13,דירה בבית,4,9161
372,נחל סער 13,116,2023,869000,14717-45-47,דירה בבית,4,7491
373,יעקב מלול 16,89.5,2023,137000,13105-10-6,דירה בבית,4,1531
374,נחל ג'לבון 11,59,2023,1035000,14717-18-34,דירה בבית,3,17542
375,תל חי 83,36,2023,685000,13167-7-273,דירה בבית,1,19028
376,יהודה הלוי 1,66.9,2023,550000,13107-7-7,דירה בבית,3,8221
377,שפרינצק 22,65.5,2023,101000,13135-120-17,דירה בבית,4,1542
378,נחל סער 13,125,2023,938000,14717-45-48,דירה בבית,4,7504
379,שפרינצק 28,65.7,2023,225000,13135-154-4,דירה בבית,4,3425
380,תל חי 83,36,2023,680000,13167-7-108,דירה בבית,1,18889
381,הלבנון 21,54.5,2023,1050000,13105-69-10,דירה בבית,3,19266
382,הרצל 36,145.1,2023,1560000,13109-19-3,קוטג' דו משפחתי,5,10751
383,נחל סער 13,74,2023,694000,14717-45-49,דירה בבית,3,9378
384,נחל סער 13,74,2023,1250000,14717-45-50,דירה בבית,3,16892
385,הרב יוסף משאש 11,71,2023,580000,13196-42-7,דירה בבית,3,8169
386,יהודה הלוי 6,53.1,2023,276000,13107-4-13,דירה בבית,3,5198
387,שפרינצק 39,65.9,2023,88000,13135-145-24,דירה בבית,3,1335
388,בבא סאלי 21,102,2023,1013000,13195-56-4,דירה בבית,5,9931
389,ביאליק 42,246,2023,3150000,13161-108-1,דירה בבית,6,12805
390,נחל סער 13,124,2023,1730000,14717-45-51,דירה בבית,4,13952
391,הוורדים 35,97.53,2023,1450000,13376-127-3,דירה בבית,4,14867
392,בוסתן 22,140,2023,1930000,14717-13-3,קוטג' דו משפחתי,5,13786
393,הגלעד 7,66.9,2023,620000,13107-6-15,דירה בבית,4,9268
394,האצל 48,78.6,2023,815000,13097-25-3,דירה בבית,4,10369
395,הירדן 2,192,2023,2100000,13169-19-8,קוטג' דו משפחתי,5,10938
397,נחל סער 13,74,2023,980000,14717-45-52,דירה בבית,3,13243
398,הגלעד 2,91.4,2023,270000,13106-52-1,דירה בבית,4,2954
399,יצחק שדה 14,53.5,2023,240000,13164-118-13,דירה בבית,3,4486
400,ברל כצנלסון 26,98.2,2023,600000,13163-25-6,דירה בבית,4,6110
401,עולי הגרדום 32,140,2023,125000,13163-59-12,דירה בבית,6,893
402,הוורדים 24,81.2,2023,830000,13378-266-14,דירה בבית,3,10222
403,נחל ערער 2,182,2023,2150000,14719-105-1,קוטג' דו משפחתי,5,11813
404,שפרינצק 29,63.5,2023,702000,13135-142-19,דירה בבית,3,11055
405,שפרינצק 30,65.3,2023,600000,13135-125-5,דירה בבית,3,9188
406,תל חי 74,75.6,2023,875000,13107-19-29,דירה בבית,4,11574
407,תל חי 54,83.2,2023,750000,13105-37-3,דירה בבית,4,9014
408,עליית הנוער 8,66.4,2023,800000,13167-83-22,דירה בבית,3,12048
409,הצוקים 6,51.4,2023,138000,13163-6-5,דירה בבית,3,2685
410,הרצל 25,77.5,2023,182000,13109-38-15,דירה בבית,3,2348
411,האצל 5,77.3,2023,800000,13097-2-22,דירה בבית,4,10349
412,שפרינצק 30,65.5,2023,900000,13135-125-13,דירה בבית,4,13740
413,סביון 15,47,2023,900000,13378-106-1,דירה בבית,3,19149
414,האצל 32,61.9,2023,755000,13097-15-9,דירה בבית,3,12197
415,שפרינצק 19,66,2023,101000,13195-67-11,דירה בבית,4,1530
416,הרצל 7,126,2023,166000,13145-94-32,דירה בבית,4,1317
417,יהודה הלוי 18,54.8,2023,716000,13107-38-3,דירה בבית,3,13066
418,אחי אילת 6,63.4,2023,430000,13163-48-6,דירה בבית,4,6782
419,האצל 9,77.3,2023,78000,13097-36-16,דירה בבית,4,1009
420,עולי הגרדום 38,49.1,2023,580000,13163-63-10,דירה בבית,3,11813
421,הר הצופים 9,78.5,2023,800000,13097-62-14,דירה בבית,4,10191
422,הר הצופים 4,109.9,2023,1200000,13097-8-1,דירה בבית,4,10919
423,האצל 38,61.9,2023,810000,13097-18-34,דירה בבית,3,13086
425,קרן היסוד 11,75.8,2023,960000,13168-32-4,דירה בבית,3,12665
426,הירדן 36,97.1,2023,930000,13168-58-26,דירה בבית,3,9578
427,הלבנון 9,55.4,2023,760000,13105-38-14,דירה בבית,3,13718
428,טרומפלדור 27,65.5,2023,610000,13196-53-11,דירה בבית,3,9313
429,עולי הגרדום 38,61.4,2023,715000,13163-63-4,דירה בבית,3,11645
430,תל חי 83,36,2023,720000,13167-7-74,דירה בבית,1,20000
432,האצל 5,87.9,2023,800000,13097-2-7,דירה בבית,4,9101
433,סאלד 16,60.2,2023,455000,13167-88-15,דירה בבית,3,7558
434,השופטים 8,65.7,2023,788000,13163-11-6,דירה בבית,3,11994
435,הצוקים 4,62,2023,450000,13163-4-1,דירה בבית,4,7258
