city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
נוף הגליל,שלום,162,חרוד 10,77.6,2018,750000,17834-8-12,דירה בבית,4,9665
נוף הגליל,שלום,163,אריאל שרון 25,59.8,2018,525000,17834-28-5,דירה בבית,3,8779
נוף הגליל,שלום,164,החצב 10,73.7,2018,500000,17834-37-12,דירה בבית,3,6784
נוף הגליל,שלום,165,החצב 12,68.6,2018,570000,17834-41-5,דירה בבית,3.5,8309
נוף הגליל,שלום,166,החצב 14,68.6,2018,590000,17834-32-2,דירה בבית,3.5,8601
נוף הגליל,שלום,168,החצב 6,73.7,2018,540000,17834-39-6,דירה בבית,3,7327
נוף הגליל,שלום,170,החצב 14,68.6,2018,430000,17834-32-6,דירה בבית,3,6268
נוף הגליל,שלום,171,החצב 14,68.6,2018,440000,17834-32-8,דירה בבית,3.5,6414
נוף הגליל,שלום,172,אריאל שרון 23,61,2018,450000,17834-25-9,דירה בבית,3,7377
נוף הגליל,שלום,173,חרוד 2,84.5,2018,620000,17834-4-11,דירה בבית,4,7337
נוף הגליל,שלום,174,החצב 14,68.6,2018,470000,17834-32-11,דירה בבית,2.5,6851
נוף הגליל,שלום,175,החצב 8,73.7,2018,560000,17834-38-6,דירה בבית,3,7598
