מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הלוטוס 20,104.8,2025,3550000,7651-628-57,דירה בבית,5,33874
4,הלוטוס 7,98.3,2025,3220000,7651-564-5,דירה בבית,4,32757
5,הלוטוס 18,114,2025,4200000,7651-627-25,דירה בבית,5,36842
6,הסחלב 13,75.65,2025,1200000,7651-515-5,דירה בבית,3,15863
7,הקרן 1,100,2025,3375000,6582-599-1,דירה בבית,4,33750
8,משה דיין 48,94.8,2025,3580000,6582-280-5,דירה בבית,4,37764
9,הפרחים 13,71,2025,2400000,7651-623-136,דירה בבית,2.5,33803
10,הלוטוס 20,90.3,2024,3380000,7651-628-20,דירה בבית,4,37431
11,דיין משה 44,106.1,2024,4000000,6582-278-8,דירת גן,3,37700
12,הפרחים 13,99,2024,3400000,7651-623-242,דירה בבית,4,34343
13,הפרחים 6,91.6,2024,3170000,6582-361-17,דירה בבית,4,34607
14,הפרחים 13,67,2024,2659000,7651-623-157,דירה בבית,2,39687
16,הפרחים 13,90,2024,1650000,7651-623-259,דירה בבית,4,18333
17,שרה אהרונסון 7,112,2024,142000,6582-292-11,דירה בבית,5,1268
18,האגם 18,207.48,2024,3392000,7651-580-2,קוטג' דו משפחתי,5,16349
19,האגם 10,413,2024,9500000,7651-588-1,קוטג' חד משפחתי,6,23002
20,0,98,2024,3200000,6582-360-14,דירה בבית,4,32653
21,החליל 6,88.2,2024,3100000,6582-425-5,דירה בבית,4,35147
22,הפרחים 13,78.8,2024,2700000,7651-623-246,דירה בבית,3,34264
23,בילו 55,168.33,2024,842000,6582-190-4,קוטג' חד משפחתי,5,5002
25,החליל 10,82.5,2024,2990000,6582-443-6,דירה בבית,4,36242
26,הפעמונים 25,84,2024,3250000,7651-602-7,דירה בבית,4,38690
27,הוורד 2,128,2024,4000000,6582-600-1,דירה בבית,4,31250
28,הפעמונים 12,87.6,2024,3050000,6582-426-8,דירה בבית,4,34817
31,הלוטוס 12,97,2024,3500000,7651-536-5,דירה בבית,4,36082
34,הלוטוס 3,72,2024,2700000,7651-540-5,דירה בבית,3,37500
37,חיים לסקוב 12,238.48,2024,496000,6582-483-2,קוטג' דו משפחתי,6,2080
38,יגאל ידין 9,184.07,2024,6530000,6582-246-1,קוטג' דו משפחתי,5,35476
39,בילו 59,225.27,2024,6968000,6582-485-1,דירה בבית,7,30932
41,הלוטוס 12,120,2024,4850000,7651-536-8,דירה בבית,5,40417
42,הנבל 15,102.5,2024,4150000,6582-376-9,דירה בבית,4,40488
43,משה דיין 46,74.8,2024,2790000,6582-279-11,דירה בבית,3,37299
44,שרה אהרונסון 2,103,2024,4200000,6582-353-27,דירה בבית,5,40777
45,שרה אהרונסון 7,154,2024,4600000,6582-292-13,דירה בבית,4.5,29870
46,שרה אהרונסון 7,162,2024,742000,6582-292-12,דירת גן,6,4580
48,האשד 5,215,2023,7800000,7651-487-1,קוטג' דו משפחתי,7,36279
49,הפרחים 13,67,2023,2500000,7651-623-99,דירה בבית,2.5,37313
50,הלוטוס 6,74,2023,2520000,7651-542-6,דירה בבית,3,34054
52,בילו 57,163.28,2023,6650000,6582-189-2,קוטג' חד משפחתי,6,40728
54,הפרחים 18,79.93,2023,2850000,6582-386-13,דירה בבית,3.5,35656
55,הפרחים 54,69.4,2023,2875000,7651-591-5,דירה בבית,3,41427
56,הפרחים 28,89.75,2023,3520000,7651-616-7,דירה בבית,4,39220
57,משה דיין 46,111.5,2023,4350000,6582-279-1,דירה בבית,5,39013
58,היקינטון 4,81.4,2023,2640000,7651-647-8,דירה בבית,3,32432
59,המלכים 23,85.6,2023,3300000,6582-294-6,דירה בבית,4,38551
62,הפרחים 18,134.34,2023,4450000,6582-386-17,דירה בבית,5,33125
63,הסחלב 8,89,2023,2950000,7651-513-13,דירה בבית,4,33146
64,הפרחים 38,99.5,2023,3650000,7651-535-10,דירה בבית,4,36683
66,החרצית 6,91,2023,3250000,6582-397-7,דירה בבית,4,35714
68,החרצית 7,104.89,2023,4150000,6582-504-2,דירה בבית,4,39565
69,הפעמונים 17,76.4,2023,2850000,7651-643-8,דירה בבית,3,37304
70,דיין משה 44,94.8,2023,3380000,6582-278-2,דירה בבית,4,35654
72,הסולן 13,269,2023,8275000,6582-312-1,קוטג' דו משפחתי,5,30762
73,משה דיין 40,71,2023,2900000,6582-281-3,דירה בבית,3,40845
74,חיים לסקוב 10,328,2023,6500000,6582-482-3,קוטג' דו משפחתי,8,19817
76,הפרחים 13,109.8,2022,2720000,7651-623-159,דירה בבית,4,24772
77,ידין יגאל 2,97.75,2022,2800000,6582-223-10,דירה בבית,4,28645
78,הפרחים 27,126.13,2022,4550000,7651-572-8,דירה בבית,5,36074
79,הפרחים 13,111.3,2022,2950000,7651-623-182,דירה בבית,4,26505
80,הפרחים 13,67,2022,2800000,7651-623-130,דירה בבית,2,41791
81,יגאל ידין 14,207.71,2022,7500000,6582-477-1,קוטג' חד משפחתי,7,36108
82,הלוטוס 19,77.04,2022,3100000,7651-615-4,דירה בבית,3,40239
83,הפרחים 13,79,2022,2450000,7651-623-85,דירה בבית,2.5,31013
85,הפרחים 13,77,2022,2890000,7651-623-147,דירה בבית,3,37532
86,הפרחים 13,123.5,2022,3200000,7651-623-194,דירה בבית,5,25911
87,יעקב דורי 23,75,2022,2825000,6582-435-8,דירה בבית,3,37667
88,הלוטוס 1,76.4,2022,2625000,7651-644-8,דירה בבית,3.5,34359
89,האגם 11,208.52,2022,3750000,7651-577-1,דירת גן,8,17984
90,הסחלב 2,70.91,2022,2900000,7651-668-12,דירה בבית,3.5,40897
91,הפרחים 36,123,2022,897000,7651-658-23,דירה בבית,5,7293
92,הסחלב 1,142,2022,4050000,7651-671-6,דירה בבית,5,28521
93,דיין משה 44,137,2022,4940000,6582-278-6,דירה בבית,5,36058
94,הפרחים 13,71.5,2022,2375000,7651-623-7,דירה בבית,3,33217
95,הסחלב 15,96,2022,3375000,7651-514-6,דירה בבית,4,35156
96,המלכים 12,263,2022,2897000,6582-306-2,קוטג' דו משפחתי,6,11015
97,הפרחים 13,127.8,2022,4180000,7651-623-266,דירה בבית,4,32707
98,החליל 10,93,2022,3279000,6582-443-4,דירה בבית,4,35258
99,הצליל 7,73,2022,2650000,6582-407-4,דירה בבית,3,36301
100,שרה אהרונסון 7,91.6,2022,3400000,6582-292-5,דירה בבית,4,37118
101,הפרחים 13,107,2022,4100000,7651-623-61,דירת,4,38318
102,הפרחים 30,91.3,2022,3550000,7651-617-1,דירת גן,4,38883
103,שרה אהרונסון 6,83,2022,2485000,6582-353-10,דירה בבית,3,29940
104,הפרחים 13,72.5,2022,2190000,7651-623-254,דירה בבית,3,30207
105,בילו 56,145.59,2022,4925000,6582-188-3,דירה בבית,6,33828
106,הלוטוס 17,70,2022,2425000,7651-663-6,דירה בבית,3,34643
107,הפרחים 13,95,2022,2925000,7651-623-218,דירה בבית,4,30789
108,הפרחים 13,78.2,2022,2190000,7651-623-214,דירה בבית,3,28005
109,הלוטוס 20,90.3,2022,3060000,7651-628-21,דירה בבית,4,33887
110,הפרחים 13,81.4,2022,2375000,7651-623-77,דירה בבית,3,29177
111,בילו 56,146.2,2022,247000,6582-188-5,קוטג' חד משפחתי,5,1689
112,0,320,2022,8100000,6582-419-3,קוטג' דו משפחתי,7,25313
113,הפרחים 36,74,2022,2550000,7651-658-9,דירה בבית,3,34459
114,הלוטוס 20,134.2,2022,4000000,7651-628-34,דירה בבית,5,29806
116,הפרחים 27,136.61,2021,4000000,7651-572-13,דירה בבית,5,29280
117,הסחלב 2,94.98,2021,3595000,7651-668-2,דירה בבית,4,37850
118,משה דיין 6,131.98,2021,4225000,6582-224-22,דירה בבית,5,32012
119,הלוטוס 8,119,2021,3470000,7651-560-4,דירה בבית,5,29160
120,ידין יגאל 2,115.23,2021,2525000,6582-223-3,דירה בבית,5,21913
121,שרה אהרונסון 8,212,2021,4100000,6582-353-7,קוטג' דו משפחתי,5,19340
122,הפרחים 13,72.5,2021,2275000,7651-623-70,דירת גן,3,31379
123,הסחלב 15,96,2021,3500000,7651-514-3,דירה בבית,4,36458
124,הצליל 1,96,2021,3850000,6582-595-3,דירת גן,5,40104
125,0,85,2021,2520000,6582-360-16,דירה בבית,4,29647
126,0,101,2021,2900000,6582-360-11,דירה בבית,5,28713
127,הוורד 2,111,2021,3600000,6582-600-2,דירת,5,32432
128,הסחלב 17,89,2021,3200000,7651-661-1,דירת גן,4,35955
129,הפרחים 42,91,2021,3200000,7651-533-2,דירת גן,4,35165
130,0,101,2021,3250000,6582-360-1,דירה בבית,4,32178
131,הפרחים 13,101.3,2021,2500000,7651-623-197,דירה בבית,4,24679
132,אנה פרנק 6,92,2021,2000000,6582-359-7,דירה בבית,4,21739
133,הפרחים 13,77.5,2021,2100000,7651-623-104,דירה בבית,3,27097
134,הפרחים 54,69.4,2021,2555000,7651-591-2,דירה בבית,3,36816
135,הפרחים 13,67,2021,1930000,7651-623-177,דירה בבית,2,28806
136,דורי יעקב 46,363,2021,6250000,6582-297-1,קוטג' דו משפחתי,6,17218
137,יעקב דורי 28,312,2021,1905000,6582-462-2,קוטג' דו משפחתי,7,6106
138,0,117,2021,3400000,7651-600-7,דירת,5,29060
139,0,101,2021,2520000,6582-360-15,דירה בבית,4,24950
140,הלוטוס 8,88.5,2021,3200000,7651-560-7,דירה בבית,4,36158
141,הסחלב 16,109,2021,3350000,7651-509-3,דירה בבית,5,30734
142,הצליל 3,96.3,2021,3220000,6582-424-12,דירה בבית,4,33437
143,הפעמונים 18,83.47,2021,2450000,6582-415-6,דירה בבית,4,29352
144,הלוטוס 17,92,2021,2575000,7651-663-5,דירה בבית,4,27989
145,הפרחים 38,99.5,2021,2600000,7651-535-7,דירה בבית,4,26131
146,יעקב דורי 28,343,2021,1805000,6582-462-1,קוטג' חד משפחתי,5,5262
147,משה דיין 14,150.16,2021,1410000,6582-229-1,קוטג' דו משפחתי,6,9390
148,הסחלב 12,78.19,2021,2325000,7651-511-9,דירה בבית,3,29735
